formality	src	src_ctx	trg
neutral	 	Societies think they operate by something called morality, but they don't. - They operate by something called law. - You're not guilty of anything... merely by working at Auschwitz. - Eight thousand people worked at Auschwitz. - Precisely 19 have been convicted, and only six for murder.	To prove murder, you have to prove intent.	Um Mord zu beweisen, muss man Vorsatz beweisen.
neutral	 	I didn't say "die." - I said "cry." - It's easy. - Just keep it casual. - Give him a kind word, shake his hand and give him the money.	- How do you know so much about this?	-Wie kann man so viel darüber wissen?
neutral	 	- What year is this? - Maybe I know-- - No! - I don't want to know if you know someone there. - - It's anonymous. - - No, it's not.	Camp is where you can be the person you can't be at school.	Im Camp kann man sich als der aufführen, der man in der Schule nicht sein kann..
neutral	 	Maybe we were just too naive. - - Maybe we knew too much. - - That, too. - But how can you be against freedom? - Freedom's good.	You have to believe in something.	An irgendetwas muss man doch glauben.
neutral	 	Grandma was sitting there, holding Mom. - Grandpa Frank, he was standing here. - Holding an ax. - Bite me, George! - Everyone knows it was an accident.	How can you cut yourself in half by accident, you moron?	Wie kann man sich versehentlich entzwei hacken, du Idiot?
neutral	 	Mind you, they never laid a finger on me, but, oh, the questions. Nag, nag, nag. - "How did you know it was Mr. Cooper? How many times you seen him and where? - And did he give you anything?" Blimey, he never gave me nothing. - "And how long you been Miss Inwood's maid?" - They was gentlemanly and polite, all right but give me the bleeding Russians any day, dear.	Yes. You gotta watch your step when you're up against the police.	Ja, mit der Polizei muss man vorsichtig sein.
neutral	 	First of all, there's no home-cooked meals like this. - What? - Really? - Yeah, yeah! - No, on the road, it's all burgers and fries and pizza.	Then you got to deal with the fans, especially the girls.	Und dann muss man mit den Fans zurechtkommen, vor allem den Mädels.
neutral	 	Why stop there? - Really, just keep them coming. - I'm like the Keith Richards of cancer kids. - Have you been going to that support group I suggested? - Yeah, it's not my thing.	Support groups can be a great way for you to connect with people who are...	In Selbsthilfegruppen kann man Menschen begegnen, die...
neutral	 	But this mystification doesn't come from women. - We started The Vagina Introductions, where women could come and get to know their vaginas with a mirror, and see how harmless and common the vulva really is. - And those classes were held in your home? - -Yes. It was important to have an open and accepting atmosphere. - So one could say the liberation started in your living room?	Yes you could.	Ja, das kann man schon so sagen.
neutral	 	Low! - I don't wanna be like my mother. - She's a ghost. - She has no life. - If I have children, I'll raise them very differently.	You can't have children anymore in this world.	In dieser Welt darf man keine Kinder mehr kriegen.
neutral	 	This God of yours, has he a name? - He is known by many names. - Elohim, Adonai, Jehovah. - It matters not, so long as one knows he exists. - And I do.	If he is invisible, how do you know he exists?	Wenn er unsichtbar ist, wie kann man wissen, dass es ihn gibt?
neutral	 	He's not human. - He's dying. - Yeah. We know, but she doesn't understand his anatomy. - And I'm even w... - - What in god's name? - - Oh, my god.	- Sometimes, you have to just jump in and figure things out.	Manchmal muss man einfach den Sprung wagen und es herausfinden.
neutral	 	You're on drugs, I can tell. - Tell me what kind, right now. - Tell me! - I'm dead! - Don't you get it?	When you die in this house, you don't get to leave.	Wenn man in diesem Haus stirbt, kann man nie weg.
neutral	 	And? - Go on. - And... she's not my daughter. - And right now when she's such a, she's so... you can't trust me to take care of her. - If you were measuring how far... away from where we need to be, you and me... is that a long way?	I don't think you can ask a question like that.	So eine Frage kann man nicht stellen.
neutral	 	- No. - - Why not? - You're too little. - Chris? - Mm-hm?	How big do you have to be to die?	Wie groß muss man sein, um zu sterben?
neutral	 	Ray and them are over there. - Ray. - [Ray] What do you want? - I ain't seen him. - If I could help you, I would.	There's certain things you can't do.	Aber es gibt Dinge, die kann man nicht tun.
neutral	 	You're not just about to pop, are you? - No. I got 30 days 'til this blast-off. - This is for Gene. - Mrs. Kranz has pulled out the needle and thread again. - The last one looked like he bought it off a gypsy.	Well, you can't argue with tradition.	Nun, über Tradition kann man nicht streiten.
neutral	 	We could do a full-body scan. - We hate full-body scans. - And by "we" you mean "you". - We also hate when a patient dies before we figure out what's wrong with them. - Do the scan.	How can you convince someone you're not cheating? Don't cheat.	Wie kann man jemanden davon überzeugen, dass man ihn nicht betrügt?
neutral	 	We're done. - Ava. - I still need to find that girl. - Carry this with you everywhere? - Smart.	But this thing, well, you could do as much damage in the right hands, but you get stopped with it, you just say you're on the way to the batting cages.	Aber das Ding, nun ja, in den richtigen Händen kann man damit genauso viel Schaden anrichten, aber... wenn man damit angehalten wird, kann man einfach sagen, man will ein wenig schlagen gehen.
neutral	 	Oh, boy. - So, it's healing waters, did you say? - I have a passion. - Horses, just love them. - Beautiful creatures, huh?	When you break any kind of a horse, you have to be hard on them from the beginning.	Wenn man ein Pferd zähmt, muss man am Anfang hart zu ihm sein.
