formality	src	src_ctx	trg
neutral	 	Some of the guys got a little sick. - I watched the guys around me. - They were scared; I was scared. - I don't think we had any reason to be otherwise. - [Henley] You don't know what's waiting for you.	They could wait 'till you're on the beach, then cut loose, or start firing right away.	Podían aguardar a que uno estuviera en la playa y atacar o comenzar a disparar.
neutral	 	- She doesn't allow it in herself. - - True. I didn't see what was so bad about Henry Crawford. - Yes. Thank you, Grigg. Why does it have to be Edmund? - Well, Austen, she's always suspicious of people who are too charming. - Just once I'd like to pick up Mansfield Park and see Fanny end up in the sack with Henry Crawford.	Yes! You can't read these novels without wondering if she doesn't have a little thing for the naughty boys.	Uno debe preguntarse si no le atraen los chicos traviesos.
neutral	 	- Good bye, - - Major Decker , - You arrested several people here after you realized - - That Englishmen would sabotage the factory, - Is not it time dropping them off again? - No,	If you ever change your mind you, called one of them Rolf Danielsen,	Si alguna vez cambia de opinión, hay uno llamado Rolf Danielsen.
neutral	 	It's not an issue. - William left me his foundation to run... with millions, many, many millions. - So... we now have the resources. We can do some good here. - We... great even. - You know, uh, you know, b... being a doctor is supposed to be a noble calling, but we know that that's not always the case, you know?	There's only so much money, and so much time, and... and the real world intrudes, and, uh, you have to compromise, but now we don't have to.	- Hay cierta cantidad de dinero..., de tiempo el mundo real se entromete uno tiene que hacer compromisos, pero ahora ya no tenemos que hacerlo más.
neutral	 	Don't tempt me. Stop all that or I'll kill you. - We gave you a place to live, a job, food. - And you still dare to... - Shut up or I'll kill you. - it's not enough to thank God for his teaching and the way.	You have to thank the Creator when He doesn't show you the way.	Uno debe agradecer a Allah, aún cuando no nos muestre el camino...
neutral	 	Twenty-eight years in peace and war. - I haven't been at home more than ten months in all that time. - Still, it's been a good life. - I love India. - I wouldn't have had it any other way.	But there are times... Suddenly you realize you are nearer the end than the beginning.	Pero hay ocasiones... cuando de pronto uno comprende que está más cerca del fin que del principio.
neutral	 	Sometimes she forgets that I have a life too, so... - God, it must be interesting. - What do you mean? - You know, just living with somebody so unestablished who has a baby, that's all. - So, by interesting, do you mean awful?	I just mean that you would think that having a baby would force someone to grow up.	Solo quise decir que uno cree que tener un bebé hace que uno crezca.
neutral	 	Tall, lazy blonds take too much work. - In sex, practice makes perfect. - My best lovers have always been those who fucked the most. - Are brunettes always best? - It depends.	For winter you want someone big and warm.	En invierno uno necesita a alguien grande y cálido.
neutral	 	Lots of love... - That's Gloria! - Oh, it's Gloria! - She's a friend. - Well, a woman.	When you live alone, that happens...	Porque, antes... cuando vivía solo, uno da vueltas.
neutral	 	Now He will do justice. - Him. - "Singham." - "The heart races." - "The body trembles."	"When you know he's coming."	"Cuando uno sabe que va a venir."
neutral	 	In fact, I am great with it. 'Cause we always knew that it couldn't be... that it was this total impossibility. - So I'm glad that we're both able to finally just... you know, get it out there. - Liz, the glass is clean. - Right. - Look.	I mean, sure, you get caught up in the excitement of it all... but... I'm over it.	Quiero decir, uno queda atrapado en la emoción de todo eso... pero... ya lo superé.
neutral	 	Come in. - You think your skin is thick enough to do this job... - If war didn't give me a thick skin I really don't know what else would. - Unlike in war, this not to kill them it is to teach! - Sure.	You stay indifferent, but you know when to stop, right?	Uno actúa con indiferencia, pero sabiendo cuándo parar, ¿no?
neutral	 	Thank you. - Get me the vasoconstrictor and prepare a hypospray with three percent hydrocortiIene. Yes, Doctor. - Sorry! - Obviously, Ensign Baytart doesn't appreciate music. - It's the darn fluid conduits running through the walls. They conduct sound.	You think when they designed this thing, they would've...	Uno pensaría que cuando los diseñaron tendría...
neutral	 	All right,you guys ready to get to today's reward challenge? - - Yup. - - Yes. - Today we're going to see how in tune you are with the rest of the tribe. - I have a series of questions.	You're each going to answer these questions in private.	Cada uno va a contestar estas preguntas en privado.
neutral	 	This cemetery must have been closed E - Then they've all been closed ... they're all the same. - And there are hundreds of them Eall over the city E stretching sometimes for miles and miles E - You think this one is very old because the stones are leaning in all directions E - They put them like that on purpose, just to make it look better E	When they're completely in ruins they use them to pave the streets, or as kerb-stones E and you walk over them without giving them a thought E	Cuando están completamente en ruinas las usan para pavimentar las calles, o como piedras de bordillo... y uno camina sobre ellas sin pensar en ello ...
neutral	 	Oh, goody-goody. - Just like the characters in your cheesy plays, you throw back your head and resent things. - Won't you sit down, Mr. Potter? - I'm afraid I deserved that. - I'm sorry, Gene.	To hear you talk, you'd think I was the world's original heel.	Oyéndote hablar, uno creería que soy el peor bribón del mundo.
neutral	 	" The picture is a testament unquestioned." - " But to get must take risks." - " Who does not risk?" - " The firemen, policemen, thieves." - " Look".	" You have to do what you believe really."	"Uno tiene que hacer lo que realmente uno cree".
neutral	 	I'm Daniel, and I heard about your chat room through a colleague of mine whose daughter goes to your school. - Now, why did Simon's father not board the plane himself? - You've acknowledged the possibility that the man is a coward. - You've acknowledged the possibility that the man is a monster. - Is it possible that this man just and quite simply wanted to view the consequences of his actions?	You cannot underestimate the deep, earthly satisfaction of viewing work you've done while you are still alive.	No se puede subestimar la satisfacción profunda y terrena de ver el trabajo que uno ha hecho mientras se está vivo.
neutral	 	The Moon rocks soon began to tell a fascinating tale. - First the rocks and soil samples contain particles indicating that the Moon must have been covered by a deep ocean of lava after it formed. - This notion was reinforced by the discovery that the rocks were lacking significantly in what scientists call "volatile elements". - Volatile elements are those that can evaporate easily and they're for be lost when you heat up a rock. - And some examples of volatile elements include water or potassium for example.	And if you compare the bulk Earth rocks to lunar rocks you find that lunar rocks are extremely parched.	Y si uno compara las rocas de la Tierra con las lunares encuentra que las rocas lunares están extremadamente secas.
neutral	 	I wish I could tell you more about it, Dr.- - - I'm sorry, but I can't quite pronounce your name. - "Kik's" all right. - That's what everybody calls me here. - Well, you see, Dr. Kik, my wife never talked very much about herself or her family.	I always thought it was strange, but when you love somebody, you're not looking for symptoms.	Siempre me pareció raro pero cuando uno ama no busca síntomas.
neutral	 	Can you tell me why you need it? - Want me to prattle on for a minute? I can do that. - (Nat) Please. - OK. - Um...	The new refrigerator doesn't work. The light doesn't come on when you open the door.	El refrigerador nuevo no funciona la luz no se enciende cuando uno abre la puerta...
neutral	 	A great friend you are. - Why did I ask you about relationships? - What the fuck do you know? - cock. - Hi, you,ve reached Fi. PLease Leave a messa9e after the beep. Thank you.	The thing about the little things is you tend to forget them When faced With the big things.	He pensado en muchas cosas. Y uno tiende a olvidarlas cuando afronta las cosas grandes.
neutral	 	The last episode was pretty bad. - - Bad? - What? - - File. - I kinda let things get out ofhand.	I mean, let's face it, with something like this, you got a real tendency to overindulge.	Reconozcámoslo: Con algo así, uno tiende a excederse.
neutral	 	I guess I see what you're sayin'. - You guess? - Never guess! - You got to know! - You got to know what you're doin'.	If you guess, you're leavin' yourself wide open to suggestion.	Cuando uno cree, se vuelve víctima de la sugestión.
neutral	 	I've arranged something. - Excuse me! - Will you please leave my garden? It's not open to the public. - Never has been and it never will be. - Hello, Mr Thompson.	You'd have thought those bastards would have had more respect.	Uno habría pensado que esos bastardos tendrían más respeto.
neutral	 	Sorry, Lister. - ♪ Ah, the warden's breakfast ready and made ♪ ♪ with the ham and eggs and the marmalade ♪ - Sounds like a very important meeting you're going to this morning, Doc. - Is, uh, Captain Munsey gonna be there? - Brandy's the very best drink in the world If you drink enough your toes get curled	Calypso, statistics show... that if the level of alcohol in the blood exceeds one half of one percent... the blood pressure is affected, a cerebral condition occurs... and then... you're cockeyed.	Según las estadísticas, si el nivel de alcohol en la sangre supera el 0,5%, afecta a la presión arterial, la actividad cerebral y, uno empieza a no ver claro.
neutral	 	That lamp there was the murder weapon. - That means Jenna made this video in her bedroom. - So then why didn't we find any trace of the camera or videotape? - How about the bedroom? - I opened the pillows, the mattress, everything in there...	For someone who slept with coffee traders, you'd think Jenna would have brewed better beans.	No hay nada. Dormía con comerciantes de café, pero uno diría que Jenna habría usado mejores granos.
neutral	 	This is the seventh - Who will you find in the bar on such a rainy night? - The monsters of the night. - The bars are closed during the day - "Got to open up at nights, for these monsters"	You get to meet dangerous people on the way	Uno puede conocer a personas peligrosas en el camino
neutral	 	Sit there, you can't see from here. - I'm fine here. Dad's a genius! - Well, I.. - I'm going to bed. - I thought he was going to check up on the cow!	They put down wax to make you slip!	Ponen la cera para que uno resbale. Ya está.
neutral	 	Oh, I get it, I get it. - It's a wonderful idea for a game. - It's a very strange name. - Well, yeah, it's a very strange game. - Now, here's what we do.	We think silently to ourselves for five minutes without uttering a word, with our hands over our ears, hands over your ears, and then at the end of five minutes, we each try to guess what the others were thinking of.	Pensamos en silencio durante 5 minutos sin decir palabra, con las manos en las orejas, las manos en las orejas, y al cabo de los 5 minutos, cada uno trata de adivinar lo que han pensado los otros.
neutral	 	It's none of my business. - Pull over here. - Stop. Stop, stop, stop. - This is the spot. - I guess you run into a lot of dead bodies in your line of work.	You get used to it.	Uno termina por acostumbrarse.
neutral	 	Is it good that I had to eat alone with that guy Víctor? - That's all right, you tell me? - And where were you, can I know where you came from? - And don't tell me you're back from a mission, because you always take me on your missions. - I had to be alone.	Sure, you wantto be alone?	Claro, y, cuándo quiere uno estar solo?
neutral	 	It just ended. - Like one day it was like they turned the TV set off and, Iike, you kind of just, you know, walked through another door and that door was never, ever, ever going to be opened again. - It was incredibly radical. - It was unbelievably exciting. - It was right from the start, super important.	Even though no one else in the world thought it was important, you sort of knew it was as important as any other musical movement that was going on.	Aunque nadie más creyera que era importante... uno sabía que era tan importante como cualquier otro movimiento musical.
neutral	 	He was constantly philandering. - - Did Julia know that?	You sense such things anyway?	Uno siente esas cosas, ¿no?
neutral	 	No. - It's gone. - It's gone. - I got nothing. - Okay.	Well, like I said, it doesn't always work when you want it to.	Como dije, no siempre funciona cuando uno quiere.
neutral	 	And, uh, most of all, I got to thank my coach, Alvey Kulina. - You gave me everything, man, when... when everybody else was calling me a piece of shit and counting me out, you stuck with me. - You lifted me up. - You you gave me a home. - You, uh...	You just knew exactly what I needed before I even did.	Uno sabía exactamente lo necesitaba antes de que yo lo hice.
neutral	 	Parents never seemed to care. - Teachers, they forgot how to care. - As you grow older, you begin to realize what cops are all about. - They're just doing a job, enforcing the law. - Raising families.	If you break the law you get busted.	Si uno infringe la ley, lo arrestan.
neutral	 	Some half-ass Princeton debating society? - We are in a war situation. - This is a United States warship or at least it used to be. - Or will be. - Or what the hell ever.	Oh, goddamn it, you can drive yourself crazy trying to think about this stuff.	Maldita sea, uno puede volverse loco pensando en estas cosas.
neutral	 	Of course it was futile.	But sometimes, even when you know something is futile, it doesn't mean you shouldn't try, because you've got to have hope.	Pero aun cuando uno sabe que algo va ser inútil,
neutral	 	Mr. manager, I got a big -- what? - hello! Ho! hey, ho, I needed that. - Get your hands off me. - I'm an american citizen. - One issue in dealing with modern criminal Gangs is that their operations are diversified.	The heat shielding you hope is hiding a human-smuggling operation...	El escudo contra calor uno espera que se trate de una operación de contrabando humano...
neutral	 	Sir, the truth is I wasn't there. - I had to make a trip to California to meet the Provost of Stanford, for my son. - I told you about it last week. - It was my decision, sir. - I made a judgment call that we could pass the bill without her help.	But, look, tight votes like this, you can analyze them to death, but at the end of the day, we came up short.	Pero, mire, las votaciones apretadas como esta uno puede analizarlas en detalle pero al final, quedamos cortos.
