formality	src	src_ctx	trg
neutral	 	I promise you you'll be winners. - Ready? - M-U-S... A! - A-N-G-S! - Mustangs!	You don't know how to spell "Mustangs"?	Comment on йcrit "Mustangs" ?
neutral	 	Cut! - With the guys in 2002, all of a sudden snowboarders are our heroes. - And they're hopeful for getting more gold medals at the Olympics for years to come. - It's kind of turned down the volume on my program a little bit. - The conditions are tough, and I jacked myself a little bit.	When you throw down and kill one, a really sweet line, it's an awesome feeling, you know.	Quand on fait une bonne descente... c'est une sensation formidable.
neutral	 	- She moved in with him. - How did you find out? - I followed her. - Stood outside the building. - - That's so humiliating! - - Tell me about it.	And, you know, I knew. I knew that even though we were happy, it was an illusion.	Mais je savais que même si on était heureux, c'était une illusion.
neutral	 	Got a new angle. Just thought of it. - It's great. - I'll take cowboys. - - Cowboys? What for? - - To lasso lions, of course.	Maxie, you can buy all the lions you want in California.	Maxie, on peut acheter des lions en Californie.
neutral	 	That's what I do when I want to blow off some steam, okay? - So... uh... what got you all steamed up? - You can talk to me. - I mean, come on, you were there when I found out my parents were all messed up, so you can definitely trust me. - My dad meant a lot to me when I was a kid.	And, um, we were, like, really close, and we went sailing, you know?	Et on était vraiment proches, et on allait naviguer.
neutral	 	Look, man, she got out and I offered her a job, all right? - She got desperate and took it. - You stay here until we check out your story. - Can I get a soda or something while I wait? - No.	You know, according to the signal from the tower, a call from the brothel went to a cell phone in this area, so we're gonna split up and see if we can find it.	Bon, d'après le signal émis du relais, l'appel à la maison close a été passé d'une cabine dans cette zone, alors, on va se séparer et voir si on la trouve.
neutral	 	Look at what they did to us, Mr. Shue. - Just like these purple pianos, they ripped out our guts, threw crap all over us and burned us up. - We got hit pretty hard. - But these pianos are still making music. - And so are we.	Mr. Shue, as always, you and I are on the exact same page.	Comme toujours, on est sur la même longueur d'onde.
neutral	 	Sorry about that, everybody. Sorry. - Hello. - Do carry on. - All right, everybody exit in an orderly... All right, single file! Keep it... - I seem to do a lot of falling and screaming in this adventure.	To find something, anything a great truth, or a lost pair of glasses you must first believe there will be some advantage in finding it.	Quand on cherche quelque chose, quoi que ce soit, une vérité essentielle ou une paire de lunettes égarée, il faut être convaincu de l'avantage à la trouver.
neutral	 	I don't know. - I was out of rehab by the time I was six months old. - So... - -What's the deal? Are you gay? - -What?	I don't know. I get this feeling from you, like you're not interested in guys.	Je sais pas, on dirait que t'es pas intéressée par les mecs.
neutral	 	Wheels and the Legman, private eyes! - And we have the best idea for your next book. - Look at him! - He loves it! - That's just another cardboard cutout.	Ah, right, when people talk, you don't see their words.	C'est vrai, quand les gens parlent, on voit pas les mots.
neutral	 	If you could scan the notes we had from the meeting last week and e-mail them to my assistant, that would be great. - Okay. I'll get right on that, Ms. Ramos. - Please don't cc anyone on that. - Thank you. - Last few weeks, you've barely looked at me, Elena.	You and I are gonna be working together every day now.	Toi et moi on va travailler ensemble tout les jours maintenant.
neutral	 	Our aeroplanes are public aeroplanes. - This is an independent sovereign State. At war. - I know nothing about any old order. - I am the Chief here, and I am not taking any orders - old or new, from you. - - I suppose I've walked into trouble.	- Yeah, you can take that as right.	- Oui, on peut dire cela.
neutral	 	- You need to stop what you're doing immediately. - - Why? Harrington's attorney got the knife evidence revoked. - That's impossible. - How? Our warrant encompassed his legal residence, which technically, is his house in Florida. - (Scoffs) We never had a right to enter the house, so anything found on our search is inadmissible.	Apparently, the richer you are, the more justice you can afford.	Plus on est riche, plus on peut se payer de justice.
neutral	 	- Does he suspect? - In Graystone's world, people will do just about anything for money. You live very rustically... Don't you? - Well, I suppose if you like it that way. This girl, Lacy Rand, she was sent to us by Clarice Willow. - Said girl exerts unexplained control over war machines we bought on the black market. - - This is troubling.	- Only if you try to explain it.	Seulement si on tente de l'expliquer.
neutral	 	- Yes, really. I mean it. - Can you ever be more truly alone than when you're in a crowd of people? - Here we sit in this shell a bit of tin and glass - Out there is a whole other world. - Nobody sees us, nobody hears us, nobody bothers us.	Sybille, I imagine that's how it is when you know you're happy.	Sybille, je crois que c'est comme ca quand on sait qu'on est heureux.
neutral	 	- And will you? - - Yes. - In some obscure way... - Querelle understood that love is voluntary. - You have to want it.	When you don't love men... letting yourself get fucked can give you pleasure... but to fuck men, you have to love them... even if only at the moment you're fucking.	Quand on n'aime pas les hommes... on peut avoir du plaisir en se laissant baiser... mais pour les baiser, il faut les aimer... ne serait-ce qu'au moment où on les baise.
neutral	 	You forbid it? - What? Who are you? - Julius Caesar? - Who the hell is Julius Caesar? - You know I don't follow the NBA.	Look, I am so sorry that this happened, Ron, but you and I, we're partners, sweetheart.	Je suis désolée de ce qui t'est arrivé, mais toi et moi, on est partenaires.
neutral	 	That's not true, Philly. - Maybe it's 'cause you don't think you have anything to lose anymore, you know? - You're already locked up. - You... you know, maybe you, um... maybe you like it here. - I mean, I don't know.	But, what I do know is that, if Fibonacci testifies next month, you and I are gonna be neighbors.	Mais ce que je sais, c'est que si Fibonacci témoigne le mois prochain, on va être voisins tous les deux.
neutral	 	Stick to your diet, you fat tub of crap. - Now, that's clever. - Well, Bean, you got any other problems with our act? - Let's see, you got me dressed up like black Chucky, you're doing jokes so bad, even Carlos Mencia wouldn't steal them, and according to your breath, you just ate a tuna sandwich with extra fart sauce. - They're so funny.	You can't even see his lips move.	- On voit même pas ses lèvres bouger.
neutral	 	What an ingrate. - Maybe I should be punished. - You're not giving me a hard time, but you didn't answer my question. - Why am I with Ford? - I don't know.	You answer a question like that rationally... it never sounds true, even if you're not lying.	On répond à une question de façon rationnelle, et on a l'air de mentir, même si on dit la vérité.
neutral	 	Then what is it? - I don't know. - I think I'm just... - I-I just, I just don't want to be - Professor Proton anymore.	Well, how can you say that?	Et bien, comment peut on dire ça?
neutral	 	What kind of trouble are you in? - My mom got sick after she lost her job. - So I borrowed some money off the street to try and help her keep the house. - It wasn't enough, so the bank foreclosed on her a week before she died. - You got a good heart, Cam, but you gotta be careful.	The farther you go down the wrong road, the harder it gets to find your way back.	Plus on avance sur le mauvais chemin, plus il est difficile de faire marche arrière.
neutral	 	Well, I can't think what the Daleks need with me, I'm nothing to them. - You could be... - Whatever's inside that Ark is waking up. I've seen this happen before. - 'First time I saw a Dalek, it was broken, 'it was dying. - 'But I touched it. The moment I did that, I brought it back to life. '	The Doctor said when you travel in time in the Tardis, you soak up all this... background radiation.	Le Docteur m'a dit qu'en voyageant dans le temps avec le Tardis, on absorbait... une radiation de second plan.
neutral	 	Everything off the books lives like Anne Frank now. - Seems like a lot of trouble. - You get too comfortable, people take advantage. - You got it under control? - Don't go looking for miracles, Claudette.	You and me, we figured out how to do time.	Toi et moi, on sait comment faire notre temps.
neutral	 	But he's so sweet. - Ever meet somebody and know you belong together? - It feels- - - Comfortable. - - Comfortable.	- You read the same science journals.	- On lit les mêmes revues.
neutral	 	That's right, Robbie. - You have to let it out. - -Let what out? - -Your feelings. - About what that lousy bitch did to you today.	Don't call her that... because we're going to get back together... and then there will be weirdness between you and me... so just watch it.	L'appelle pas comme ça On va se remettre ensemble... et après on sera mal à l'aise.
neutral	 	A little disagreement. - - Yeah, wild guess-- the Mikes? - - Luckily it was a-- It was a fair fight, mostly. - Yeah, you're a real terror. - Probably shot yourself.	Listen, I told you when you were inside Not to get mixed up with them.	Écoute... quand on était en prison, je t'ai dit de ne pas avoir à faire à eux.
neutral	 	Guess we'll have to add a little bit of weight. - God, you are such a jerk. - How do you sleep at night? - I sleep pretty good. - No wonder your wife left you.	Hey, babe, we can stop this train anytime you want.	Hey, bébé, on peut arrêter à tout moment.
neutral	 	Watch your step. - Be careful, there's a big hole here. - Stay close to the wall. - This is like an obstacle course, huh? - It's like a maze.	It can get really confusing in here, but you get used to it.	On peut vraiment se perdre ici, mais on s'y fait vite.
neutral	 	I'm Big Charlie Lookey. - Oh, I am pleased to meet you. - And I'm pleased to meet you. - Please. - You must not do this.	Oh, baby, you and me are gonna get along great.	Bébé, toi et moi, on va bien s'entendre.
neutral	 	Strap in for me. - OK. - [exhales] May I keep stalking you? - Good-bye, Conor. - Look, just tell me how long... [sighs] All right.	Look, I'll call you tomorrow, and we'll... talk through the... logistics.	D'accord, je t'appelle demain et on parle des questions pratiques.
neutral	 	Every big sport has a lot of communication and PR activity behind it. - He was just burned out. It ate away at him inside. - PR appearances, interviews and he took it all so personally. - And I said to him, "Case, just treat it as a job." - STONER: I know it's a job. At the same time you're going out there, risking every day, you gotta have passion in it.	When you lose that, it's hard to find the motivation to keep going out there and doing the same things.	Quand on perd ça, c'est dur de rester motivé. On n'a plus envie d'aller faire ce genre de choses.
neutral	 	- Yes, I know. - She chose me from a hundred men ready to kill for her. - We were both sure that our relation was perfect, but there was something missing. - You know, love requires such a perfect balance. - It's like the human body.	It may turn out that you have all the vitamins and minerals, but if there is a single, tiny ingredient missing, like, like... ...salt, for example... one dies.	Il peut s'avérer... qu'on a absolument toutes les vitamines et les minéraux, mais si jamais il y a un seul petit ingrédient qui manque, comme... le sel, par exemple... on en meurt.
neutral	 	Seriously? - That would be amazing. - What kind of job? - When you grow up in a city as big as Miami, it's easy to feel small. - Past all those skyscrapers and palm trees is my neighborhood, just a few miles from South Beach, but a world away.	And growing up in a place like this, you learn pretty quick that you have to speak louder than everyone else if you want to be heard.	Et quand on grandit dans un tel lieu, on apprend vite qu'il faut parler plus fort que tous les autres pour être entendu.
neutral	 	She's with Cuervo Jones. - You want to go to Cuervo's place? - - I've been there once. - - Show me. - All right.	I always heard about you, like they couldn't catch you no matter what you did.	J'ai souvent entendu parler de toi. On disait qu'on t'attraperait jamais.
neutral	 	- That's a buck apiece, guys. - Kenneth, this is your big idea. Why don't you pay for this? - Oh! - So do you work as hard off the field as you do on? - Well, uh, I did letter in three indoor sports.	What a wonderful group of young adults we have this year.	Quel merveilleux groupe de jeunes adultes on a cette année.
neutral	 	Are we in a fucking kibbutz? - Yeah, I'll, uh, I'll come back. - Look, are you OK? - I was a house officer at the Whittington in London. - I had a boyfriend, a goldfish, a flat with a garden.	When it was someone's birthday at work, we'd have wine in mugs and eat Twix fingers and you know what? It was lovely.	Pour les anniversaires, au boulot, on buvait du vin dans des tasses, on mangeait des Twix et c'était très sympa.
neutral	 	All things being equal, it wouldn't have been the worst thing in the world - - if I had-- - Forget it. I just wanted you to know the details I do remember, I remember clearly. - Fabulous. - Look, just keep your mouth shut.	You tell anyone else about this, we are D.O.A.	Si quelqu'un l'apprend, on est morts.
neutral	 	I don't believe in it, so why should I do it? - You don't have to believe. - Communion is flesh and blood, bread and whine. - It works no matter what. - Why didn't you mention it earlier? I'll tell them you can't come.	At normal workplaces you go home when your child is ill.	- Non ! Pour tout autre boulot, on peut rentrer chez soi quand son enfant est malade.
neutral	 	And since his wife's expressed a romantic interest in you... - We need you to exploit it. - Oh, exploit it. - Gotcha. - Yeah. Textbook CIA.	Look, Casey and I will be with you every step of the way.	Ecoute, Casey et moi on sera avec toi à chaque étape.
neutral	 	But you didn't think it through. - Sometimes heroes come to tragic ends. - What's the matter? - A little short of breath? - What a terrible way to die.	Especially when you're so claustrophobic.	Surtout quand on est si claustrophobe.
neutral	 	But why Frieda, though? - Maria seems much nicer to me. Since one can hardly tell the difference between them... Oh, I can! - Maria is very nice, probably much nicer than Frieda, but Frieda has a kind of fire inside her. - I can almost feel it burning when I'm near to her. - And she has a strange, mysterious quality.	Maria is like an open book, while with Frieda one feels you could go on learning about her forever.	Maria est comme un livre ouvert, alors qu'avec frieda, on apprend chaque jour.
neutral	 	You know what, he's also always wrong. - We secure here? - Just have to finish up in the basement. - Then do it. - That's great, just great.	Sure, Riley, we need you on site.	Bien sûr Riley, on a besoin de toi ici.
neutral	 	Somebody build a fire. - Start up some coffee. - Can't we go on? Just you and me? - - Be like lookin' for a needle in a haystack. - - Yeah, but I'm worried about Emma.	Suppose we were lucky enough to stumble across 'em. You don't think they'd give up without a fight?	Et si on tombait sur eux par hasard, ils se rendraient sans se battre ?
neutral	 	Now you show up, which means I owe her 20 bucks. - Nancy Temple, 39, complaining of nausea and dizziness since waking today. - Then she threw up. - Twice. - [Nancy] Kelly said I had to go to the doctor.	At school, you have to if you vomit.	À l'école, on est obligés si on vomit.
neutral	 	She left her purse. - It's all in here. - Her cell phone. - Where are you? - - Her battery gave out.	- We're going to find you!	- On va te trouver!
neutral	 	You hate me. - Thanks. - And I don't hate you. - Yeah, you do. - What are you doing here?	I have to talk to you.	- On doit parler.
neutral	 	I had a great idea. - You know how we're always having to stop and solve differential equations like when you do Fourier analysis or using the Schrodinger equation? - Howard doesn't. - He's only an engineer. - I think we could write a little app that would use handwriting recognition then run it through a symbolic evaluation engine.	You just use your smartphone, take a picture of the equation, and bam!	Avec un smartphone, on prend l'équation en photo et bam !
