src	trg	src_ctx	gender
Then you'll have to trigger it manually.	Dann musst du sie manuell auslösen.	What happened? - Nothing. - The detonator must have failed. - Distract them. We'll be there in five minutes. - No, we don't have five seconds, Michael.	 
I didn't have time to write it down.	Ich habe keine Zeit, alles aufzuschreiben.	I know that was more personal than professional. - If you're truly grateful, you could cooperate with us. - Give us what you know about her murder. - I'll give you everything. - You might want to record this;	 
Perhaps when you've finished, we could discuss it together.	Wenn Sie es ausgelesen haben, können wir ja darüber sprechen.	Who are you to him? - "Marcus Aurelius." - Have you read it? - It's a personal favorite. - And at the risk of sounding presumptuous, I think you might find it helpful.	 
It can't fail.	Das kann nicht schiefgehen.	Well, Mrs. Swanson used to spank me, spank me hard, even with-- l think it all began when Father refused to take me to the circus. - I was a fragile child of 6. - Say, this teensy-elephant thing has spread like wildfire. - Right up my alley. - A golden opportunity to go on TV and placate the citizenry.	 
- We have to handle it ourselves.	- Wir schaffen das alleine.	- He's still with Ahmed. - He says that if we go to the police that he's gonna kill Scott. - But do you think that even if we do what he says that he would... - You think he will still kill Scott when this is over. - I don't know but we-- we can't take the chance of going to the police.	 
We're still figuring it out.	- Wir reden noch darüber.	Why- another job? - Yeah, I hope so. - There's an offer on the table from Providence Hospital. - Oregon? - Jax okay with that?	 
- It was worth a shot.	- Ein Versuch war es wert.	They were struggling artists, married a year. - They moved here from Dayton. - So they had nothing in common with the Sitkowitzes. - They didn't by chance have a wonderful, seemingly perfect marriage, did they? - - No, not at all.	 
It collapsed, killing her and six others.	Sie stürzte ein und brachte sie und 6 andere um.	I'm sorry your child couldn't be saved. - It's difficult to lose someone you love. I know. - My wife, anthea, three years ago. - She was on her way back from the market When she was caught in a rainstorm. - She ended up taking refuge in a shelter.	 
- Well, let me put it this way.	- Ich drück's so aus:	It's a man's world. - I'm sure you'll agree. - It certainly is, Miss Scott. - I spent a lot of time trying to hide the way I look hoping to be recognized for my ability. - - How's it going so far?	 
I'm sorry I brought it up.	Tut mir leid, dass ich es angesprochen habe.	Because I was raised the same way, so I would never even consider that my decision. - You really believe that? - I do. - And I think you do, too, or you wouldn't feel this way. - I just feel so shitty.	 
Trick doesn't know where to find it yet, but--	Trick weiß noch nicht wo es zu finden ist, aber... Ich schon!	Trouble. - Isotopes... - Super-sized shit! - She's just taking a nap, relax. - What's up? We may have figured out what the Sluagh want - or at least, what they're after next: It's called "The Sword of Agros."	 
Can you give me a few days to track it down?	Kannst du mir ein paar Tage geben um es ausfindig zu machen?	Well, don't let The Riddler know that. - It's a comic book joke. - Or maybe it's not. - Do you have this one? - Uh, well, it's-it's pretty rare.	 
- Enjoy it while it lasts.	- Genieß es, irgendwann ist es vorbei.	Thanks. - Come, Storm. - Okay. - Go, caesar! - - No dog can beat King	 
Let's try it again. Come on.	Lass es uns noch mal versuchen.	Up. - - Are you okay? - - I think I better sit this out. - Are you sure? - This would be great for your series on Metropolis.	 
It was great. It was just like one long flowing...	Es war toll, ein einziges langes Fließen...	It's better than losing to a pregnant woman with twins. - Okay? - Oh, God. You know what I think? - From the time we leave our parents' house until we have kids. That's the only time your life is completely your own. - I had about a decade of that.	 
I used to sing it at church socials.	Ich habe es immer in der Kirche gesungen.	That's right. - He doesn't really want me to leave my name, does he? - No use lying to you, honey. - It'll just be filed and forgotten. - Where did you get that song you did for Klingman?	 
Try to keep it in the top of the glass.	Versuch sie oben zu halten.	Now, come on. - Don't be like that. - Two Tom Collins. - Okay, you don't smash the cherry on that. - Just plop it in at the end.	 
- And what's it about?	- Und worum geht's?	Don't come too late. - A very good afternoon to you. - Could I come in for a moment? - You've come from my husband. - - Yes.	 
I don't want it anymore.	Ich will es nicht mehr.	Everybody gets insurance, even the part-timers. - Wow. - Nice owners. - Well, you're not on our list, so I can't legally prevent you from buying this. - But I want you to look into your heart...	 
What's it about?	Wovon handelt es?	Not Vic Mortus or Leonard Grey. - I wrote as objectively as possible. - You signed your own book? - That's great! - Could you pass me the rag, please?	 
I can feel it inside you.	Ich kann es in dir spüren.	They've never been one of us and can't be trusted. - Just as long as you don't hurt them before the dome comes down. - Very well. - But don't think you've won anything here. - You're still a part of the kinship.	 
Daddy thinks that we can make it into a home.	Daddy glaubt, wir können daraus unser Zuhause machen.	After the farm, we were always moving. - But something happened. - Something good. - Finally. - We found a prison.	 
I wish I could hear it once again.	Ich würde es gern noch einmal hören...	Before, just once, I tuned in to a really mysterious melody... - It was a song different from any music I'd ever known before. - Almost like it was the sound of someone's heart itself. - When I heard it, I was both sad and happy at the same time, and I was able to feel like I was no longer alone... - It will stay with me, always...	 
I bear it so they don't have to.	Ich trage es auf meinen Schultern, damit sie es nicht tun müssen.	- Clarke... - - No. - Seeing their faces every day is just gonna remind me of what I did to get them here. - What we did. - You don't have to do this alone.	 
Is it important?	Ist es wichtig?	Yeah? - It's me. - Can I come in? - I'm in my bath. - I know.	 
Which means we have two days To make it look like an adult lives here.	Das bedeutet, wir haben 2 Tage um es so wirken zu lassen, als würde hier ein Erwachsener leben.	Something I learned from skimming The first five pages of the art of war. - You don't run away from your enemies. - You run towards them. - Great. - Robby's teacher will be in this house,	 
Well, we could use it on Lucifer.	Nun ja, wir könnten ihn gegen Lucifer verwenden.	You're welcome. - I deserve a damn medal for this, But...you're welcome. - You know, I was thinking, Dean -- Maybe we could go after the colt. - Why? - what difference would that make?	 
And I don't think you should throw it away.	Und ich finde, du solltest das nicht weg werfen.	Come on, little man. - Sayonara. - Hey, I just wanted to talk to you about the other night. - What? - I think you're really talented.	 
I'm gonna throw it as far away as I can.	Ich werfe sie, so weit ich kann.	Hold it a minute. - Look, that's the timer. - It looks like it's set to go off two minutes from now. - Uh... e-everybody get back. - What do you plan on doin' with that thing, Officer?	 
I've been trying to draw it towards me so I can stop it.	Ich versuche es auf mich zu ziehen, um es aufzuhalten.	I just need you to trust me on this one, okay? - There's enough water under our collective bridge that if you need me not to ask questions... I can do that. - Thank you. - Previously on Smallville... - A darkness has come to earth.	 
You should try it sometime.	Solltest du mal probieren.	- Royal Hawaiian. - - How's that going? - - I'm sure you will tell me. - I will. - I'll look at it very carefully... and then I'll formulate an educated opinion.	 
We can't cancel it anymore.	konnen wirjetzt sowieso nicht mehr absagen.	- I'm bored. - Come here. - Poor baby, how are you? - I'm feeling sick. - Say, you really wanna do this, the funeral service on Saturday?	 
It must have been a shock.	Das muss... das muss ja ein Schock gewesen sein.	- Really? - He's blind? - - Dead. - He's dead, of course, cos the bullets go right through. - Oh, my God, you poor thing.	 
If I don't have it, I can get it for you.	Ich besorge dir, was du willst.	What do we have here? - A brand new market, Sarge. - Hey, how are you, buddy? - As you can see, we eat very well around here. - If there's anything you need, I'm the guy to see.	 
I feel it again.	Ich spüre es wieder.	- No guns, no jewelry, no zippers. - What? - The hospital has it. - You're going in for an mri. - Gabe? - Remember what I said?	 
- What's it about?	- Was steht drin?	Where are you going? - Away. - We could still make it. - Open the door. - Look at this.	 
I didn't mean to take it out on you.	Ich wollte das nicht an Ihnen auslassen.	You're an E4. I'm a goddamn full-bird colonel. - You don't talk to me like that. - - You understand me, soldier? - - Yes, sir. - Oh, Jesus, Elwood, I'm...	 
You open this door or I'm gonna knock it down.	Sie werden diese Tür öffnen oder ich werde sie eintreten.	Hey. - What are you doing? - Let me out of here! - Not until you dry out. - I'm not gonna have your boozy meltdown on my head.	 
Why don't you just do it already then, Ginny, because I can't take it anymore.	Warum machst du es dann nicht einfach? Ich halte es nämlich nicht mehr aus.	Dumb enough to leave the scene of an accident. - You let me in, you little slut! God, just leave me alone! - You little whore. - You ungrateful brat. - Do you have any idea what I could do to your family?	 
Well, it was worth a shot.	Tja, einen Versuch war es wert.	Oh, she wants to, I think, and for her sake, so do you. - Nothin' wrong with that. - But I'm here because she's decided you come first. - Hang on. - Try that, then.	 
Well, let me put it this way.	Sagen wir mal so.	Grandpa is it true that Santa Carla's the murder capital of the world? - There are some bad elements around here. - Wait, let me get this straight. - You're telling me we've moved to the murder capital of the world? - Are you serious, Grandpa?	 
- Too risky. Maybe we should call it off.	- Vielleicht sollten wir es sein lassen.	- We could put a tall on them. - - SoIIozzo would lose our ass. - - What about the negotiator? - - He's playing pinochle with my men. - - He's happy. They're letting him win.	 
I'll keep it safe.	- Ich werde darauf achten.	This is one an artisan might wear while sculpting. - Keep those upgrades coming. - Audio's good. - I've calibrated the scanner. - Careful.	 
Keep it steady there, Griffin.	Halte sie ruhig, Griffin.	If we let go of it, we'll never find our way back. - It worked! - Once we've done that... we send the drone in to get eyes on Maddy. - Keep it steady, now. - Keep it steady.	 
I can sell it and buy a new car.	Ich kann sie verkaufen und ein neues Auto kaufen.	You're kidding. - Oh. Oh, I-I... - I always loved that clock. - He left me his grandfather clock. - Very old, worth a fortune.	 
- Can we announce it New Year's Eve?	-Geben wir es an Silvester bekannt?	He'll burn, Father, calmly, steadily, pleasantly. - It's only of you and your happiness I'm thinking. - Father you can trust me. - I'll take care of myself. - Thank you, Father.	 
I have to listen to it every day.	Ich muss sie jeden Tag hören.	- You were fantastic. - - Yeah? - And I recorded you so you could hear yourself back. - Oh, no, I hate the sound of my voice. - Imagine me.	 
And I can't get it out of my head that you can keep anything good... as long as you can get it cold enough.	Und es geht mir nicht aus dem Kopf, dass man alles frisch halten kann, wenn man es nur kalt genug bekommt.	- I know. - But now I feel that if I could only do something... some little thing for, before I die, some little thing for progress... for people, maybe. - Call it anything you want. - I might make up for all the years I've been lying fallow. - So, lately I've been reading up all I can about refrigeration.	 
We might be able to deliver it to the same destination.	Wir müssten es zum gleichen Ziel bringen können.	Your help would be appreciated, Doctor. - By then, Junior may not need us anymore. - Mr. Data, is there any way to determine what the destination of the parent might have been? - I can attempt to extrapolate from the heading it was on when we encountered it, sir. - Perhaps it was on its way to provide a safe and supportive environment for its newborn.	 
