src	trg	src_ctx	gender
Not doing it will be catastrophic.	No hacerlo será catastrófico.	That's what... - That's why we have global warming. - We have global warming because too many people are using too much stuff. - We've got to stabilize population on a voluntary basis. - Everybody in the world's gotta pledge to themselves that that one or two children is it.	masculine
I'll have to watch it on the Internet.	Debo mirarlo por Internet.	And why stupid now? - I mean, Jacqueline is flipping out about her divorce. - Dong wants us to get married before he gets kicked out of the country. - - I can't handle all this! - - Superfoop! Your trial isn't gonna be on national TV.	masculine
If I can face it again	Si pueda enfrentarlo de nuevo	A little time to think things over - I better read between the lines - In my life - There's been heartache and pain - I don't know	masculine
Wait a few days before you call it in.	Espera unos días antes de denunciarlo.	Thanks for staying. - Hey... of course. - What should I do here, Gemma? - Finish what you started with Piney. - This landing on Clay is the last thing they need.	masculine
I was forced to put it in my mouth...	me obligaron a ponerlo en mi boca ...	First things first... - - I did not smoke! - Alex forced that thing into my mouth! - Your fingers were being held by someone else. - Exactly!	masculine
Well, it was worth a try.	Bueno, mereció la pena intentarlo.	So this is irrelevant. - Of course. - She's his client, you're mine. - Yeah, that makes sense. - My bad.	masculine
I want to hear all about it right now.	Quiero saberlo todo ahora mismo.	She was sick with worry, out of her mind. - We had an interesting talk about you, Thomas. - Do you understand what I'm saying? - Your aunt thinks you're in trouble and so do I. - Tell me about it, kid.	masculine
Tried it with Janice once.	Intenté hacerlo con Janice una vez.	See that? - Look, he's full. - 24/7. Soixante-neuf. - Innit? - End of the day.	masculine
So we can put it completely.	Así podremos ponerlo completo.	Write it. - Do I have to leave my daughter, no? - I tell you what has to put ... What will ... on his tombstone. - Here lies my beloved father ... Killed by the sheriff ... Merrick. - Tell me, what is your name?	masculine
Call it a draw, all right?	Llámalo un empate, ¿de acuerdo?	Covering all the angles. - Not going off half-cocked. - So I win the bet. - Yeah, well.... - Whatever.	masculine
I can no longer keep it a secret.	No puedo seguir ocultándolo.	So I ordered some. - From Athens. - Yes. - Also some white candles with silk ribbons. - And pink bonbonnieres.	masculine
Come on, try it for once.	Vamos, inténtalo alguna vez.	All right, I'm gonna ask her out. - You lucky moron, she just wants to have sex with you. - What? Don't be ridiculous. - Dude, trust me. - Chicks love an assertive guy.	masculine
(Man) Hold it there, folks.	Deténganlo ahí, muchachos.	What do I...? - (Man) And three, two, one. - You think I've made the right decision. - You're giving me that look. - Sort of wryly disgu... Aah...	masculine
Can't we let it go at that for a while?	¿No podemos dejarlo así, de momento?	Has Bill taken over or do I still rate? - That's a hard question to answer, Frank, and I don't think a fair one to ask. - Yes or no? Bill or me? - Can't you make up your mind? - Yes, but I want to be sure you can make up yours.	masculine
They will doubt it but it'll make them want to find out.	No lo creen pero pueden averiguarlo.	I think Cochise will kill you. - Milt, can we use the office? - Good enough. - Apache eyes quick. - This says you come in peace.	masculine
Call it magic, call it a dream.	Llámalo magia, llámalo un sueño.	My heart believes and loves you. - My heart is yours, Paris, but I can never be. - You must not seek out the queen, nor anyone at the palace. - And this moment must be our last. - Don't ask me why.	masculine
Put it on speaker and act natural.	Ponlo en manos libres y actúa natural.	I did no such thing. - - Said the professional liar. - Huh. - - Why would Joan be calling you? - - Don't know. - Answer it.	masculine
And I cannot put it down, not even for a second.	Y no puedo dejarlo, ni por un segundo.	I can feel it. - You've got it. - No, I can't out this down, Ben. - And dodgeball isn't? - Go put the notebook down.	masculine
