src	trg	src_ctx	gender
Your dad has "Casablanca." Can you grab it for us?	Ton père a "Casablanca". Tu peux la prendre pour nous ?	Right. - Don't even. - Favorite childhood moment right there. - Psst. Come on. - What are you guys doing here?	 
You ready to give it a try?	Tu es prête pour faire un essai ?	No. - But, Kirsten, if we can ever figure out why she is the way she is, why she's so good at this, we can scale this program or roll it out worldwide. - The number of crimes we can solve, the number of people we can help... - I'm really glad I'm part of this. - Good.	 
So on three let's try it again.	OK, alors, à trois, on remet ça.	Come around, come in. - Okay, hands out. - One, two, three. - Go, Cyclones. - Now, see, the idea is that we all do it together, okay?	 
Lucky for you, she won't take it personally.	T'as de la chance, qu'elle ne le prendra pas personnellement.	- Ken. - - We are removing the right frontal lobe, but you just clipped the main artery to the left frontal lobe. - Congratulations, you just killed your first patient. - All right, take it easy. - Brandon.	 
Lily and Marshall decided to sell it for one simple reason.	Lily et Marshall l'avaient mise en vente pour une seule raison.	When I pinched your wallet, did you let me? - Need to know, Kenneth. - == sync, corrected by elderman == - In the fall of 2011, Lily and Marshall received a surprising gift from Lily's grandparents: - their house in Long Island.	 
Wait, there's no reason to go after it at all.	Il n'y a pas de raison de la poursuivre.	- Here. - Listen, you, while we're at work... - Whoa, head rush. - "While we're at work." - Don't even think about going after that thing alone.	 
They had to fish it out with a curtain rail.	Ils ont du le repêcher avec une tringle a rideaux.	I'm like kryptonite to men. - Kryptonite dipped in cellulite. - So, what's new on Hegg? - Give me the headlines. - One of Donald's sheep drowned.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
We thought you'd want to hear it in person.	Nous avons pensé que vous vouliez l'entendre en personne.	You said that? - Oh, you're an idiot. - There he is. - Sheriff, deputy. - You know, you boys ought to consider using a telephone once in a while.	 
- They're trying to get it open.	- Ils essaient de l'ouvrir.	What is that? - All channels. - Snow, can you hear me? - Reactivate the torsion. - What is that?	 
He's twice my age, and it was great... but then we started talking, and it stopped working.	Il a le double de mon âge... et c'était super. Mais ensuite on a commencé à discuter... et ça n'a plus marché.	- He does? - - Yeah, he does. - You knew that about him when you married him. - That's why I married him. - Sex is all we had in common.	 
I can get it for you.	Je peux te le trouver.	I got some gifts I could sell. - Extras from the customers. You know. - Baby, you don't need them others... tangee and buck, most that Robinson-- they just poison. - Baby, nothing they do for you won't hurt you. - Oh, please, please, let me chip in.	 
I hope you like it as much as we liked doing it.	J'espêre que vous l'aimerez autant que nous.	I don't want anyone to know what I look like from the back so I don't want anyone to film my exit. - Okay, it's off. It's not even on. - All right. - First of all, it's been so creative for us. - Every aspect of the movie, I think, is represented.	 
I'm gonna go check it out.	Je vais voir.	What are you doing? - Smooth one, Smallville. - - Something I have to talk to you about. - - How did you get in here? - I think I just heard a keg being tapped.	 
I really wanted to bring it in, ask Radu!	J'allais l'apporter à la police. Demandez à Radu !	It's really beautiful out here. - It is, isn't it? - I've told you already I found that chain in the street, close to the diner. - And I gave it to Radu, the Romanian, so he could get it appraised. - And I would get my ten percent finder's fee.	 
Trust me, I can hardly believe it myself.	Je l'ignorais aussi.	I'm just a servant. - This is no time to be a hero, Merlin. It really doesn't suit you. - What if I drink from mine first, and if that's not poisoned, I will then drink yours. - He said each of us is only allowed to drink from a single goblet. - I had no idea you were so keen to die for me.	 
They ought to confiscate it and put it to better use.	On devrait la saisir et en faire meilleur usage.	What a waste of a truly good house. - So much could be done with it. - A family and children could live here. - It was designed for that. - Such a waste.	 
Well, that's cool, you know, doing it on your own.	C'est cool tu sais de le faire seul.	- Nah, that's not it. - - Then what? - Getting ready for swimsuit season? - - Well? - - Um, I just got off my ADHD meds, ok?	 
It would be inhuman not to.	Ça serait inhumain de ne pas l'être.	Shame. - Unrelenting shame. - All the things you have done... - To your husband, your child. - Of course you feel ashamed.	 
