src	trg	src_ctx
Tell me, are the people of Milan happy?	Ist das Volk von Mailand glücklich?	- Is the Emperor adored? - - Adored? - Yes, as much as he deserves to be.	 
"Women are not better for Jonathan Demme, ..."at least they are like Lin Piao's proletarians or sub proletarians	"Frauen sind für Jonathan Demme nicht besser, ..."sie ähneln mindestens Lin Piao's Proletariern oder Unter-Proletariern	"of the three circling worlds, - "but certainly, his women succeed in bearing the war - "at the imaginary department for surgical operations.	 
Why does Artie even have James Macpherson in [pr] brain?	Warum hat Artie James MacPherson überhaupt in seinem Hirn?	He hates Macpherson. - Arthur sees me as the embodiment of... danger and evil. - And he can hear us.	 
Roy Marlowe was my son.	Roy Marlowe war mein Sohn.	You killed him. - I never killed any Roy Marlowe. - I never even heard of him. You killed him all right, but you don't even remember it.	 
Malcolm Merlyn will never be seen again.	Malcolm Merlyn wird nie wieder gesehen werden.	Welcome to Nanda Parbat. - When I told you that Malcolm killed Sara, he wanted her dead, but I am the one who fired those arrows into her chest. - I promised you your vengeance.	 
Any information would have to come from Blair speaking to me directly, which [pr] hasn't.	Jegliche Information müsste daher kommen, dass Blair direkt mit mir spricht, was sie nicht getan hat.	She's been busy. - I'm very sorry she lost the baby. Is she all right? - Seems to be.	 
This is... This is all about Dr. Arden, isn't it?	Hier... hier geht es um Dr. Arden, nicht?	Dr. Arden is not the issue here! - Dr. Arden is entirely the issue here! - He has turned you against me, but I was right about him.	 
"An eye for an eye."	"Auge um Auge".	Which says to me that if you kill, you die. - Seems to me God's talking out of both sides of his mouth. - Maybe he's just as confused about the death penalty as the rest of us.	 
Did Jackie ever try to help you...	Hat Jackie je versucht, Ihnen zu helfen...	Bring you food, clothing? - She snuck us things when she could. - I like to crochet, so she'd bring me yarn.	 
You know what Pete Campbell just said to me?	Wisst ihr, was Pete Campbell gerade zu mir gesagt hat?	He said if anybody sends a resume out of here, they're gonna get executed. - Fellas, we're on an account right now. - Playtex gloves protect a woman's hands, so they're soft enough to touch all the things a woman wants to touch.	 
