src	trg	src_ctx
From the moment they told me stevie was dead i really lost it, lost all touch with reality.	Desde que dijeron que stevie había muerto perdí el control, dejé de estar en contacto con la realidad.	Pam hobbs' son, steve, and two of his friends were found murdered thursday before last. - it's more a part of my life than i would like it to be. - because frankly i'd like to be able to not have those three 8-year-old boys' pictures in my mind.
You provided steroids to a minor, mr. riley... your son... in direct violation of school policy and the law.	Usted proporcionó esteroides a un menor, sr. riley... su hijo... en violación directa de las reglas de la escuela y las leyes.	A felony. - open the envelope. - your son will live with coach gardner and his wife for the remainder of the school year.
Deputy chief campbell, [pr] thinks you're not that good a cop.	El subcomisario campbell cree que no eres tan buena policía.	He thinks you might have had some help on the inside. - talk to me, travis. - fuckin' bitch!
Jessie just moved in with [pr] uncle, which is in our school district.	Jessie se acaba de mudar con su tío el cuál se acaba de mudar en nuestro distrito escolar	It's all above board, guys. - he goes to this school now. - - but this isn't fair.
[pr] name is jessie cohn.	Su nombre es jessie cohn.	My name is alex cohn. - what room is he in, alright. - sir, this hospital is extremely busy today.
I mean, whoever would've guessed a rhyming cyrus lavinius jeremiah jones... in the form of lavon hayes... would actually know what he's talking about.	Quiero decir, quién hubiera imaginado que un cyrus lavinius jeremiah jones rimando... con la forma de lavon hayes...sabría realmente de lo que estaba hablando.	Wait. - you never said that he looked like lavon. - how odd.
Robbie beals rebuilt the old fish house and hired kirk freeman to work there...	Robbie beals volvió a construir la pescadería... y contrató a kirk freeman para trabajar allí.	Kirk said robbie's wife, sandra, came down there early one morning, dressed in a slicker and boots... and told him she wanted to go for a little row. - kirk made her put on a life preserver... - he said he didn't like the way she looked... like she was dreaming with her eyes open...
Riley's sick with some initiative thing and he's missing.	Riley está enfermo con algo de la iniciativa y lo hemos perdido.	Find him. - bring him to the fourth floor of the hospital. - their doctors get to him in time, you get the cash.
But i gather our jessie saw the victim get on the train.	Pero imagino que nuestra jessie vio a la víctima subir al tren.	Look, i told him to get a taxi. - but you know our joe. - nothing comes between him and a 10 note.
Go get michal to put you in bed at home, okay?	Andá a buscar a michal para que te meta en la cama, ¿si?	- mom! my brother's dead! - - what are you talking about? - - he has his head in the oven.
To understand mr. emery, you must remember [pr] was an american.	Para entender al sr. emery, debe recordar que era americano.	It humiliated him to be supported by his wife. - it's a ridiculous attitude, of course. - why should he object to such an arrangement?
Mm, i may have let louis' mother know about [pr] and blair.	Puede que le haya contado algo a la madre de louis sobre él y blair.	But somehow it worked out to her favor. - apparently, louis needs to get married, and--and blair's weaseling her way onto a throne of her own unless i stop it. - serena, she's your best friend.
Yes, ma'am, [pr] got behind the eight ball, but riley's a good man.	Sí, señora, riley está en una mala situación, pero es un buen hombre.	He just messed up the cash flow some. - i paid riley. - i ain't giving no more money to you or anybody else.
I'm not gonna lose my job, jessie mae.	No perderé mi trabajo, jessie mae.	- well, you could! - - all right, jessie mae. - and she should realize that.
Huh, i guess campbell was the one into psychics.	Uh, supongo que era campbell el que estaba metido en videntes.	There are three of them on his credit-card bill. - so you think he was supposed to meet somebody at the park? - not at the park.
How does a guy like curtis moyers get campbell to show up with the cash?	¿cómo alguien como curtis moyers consigue que campbell aparezca con el dinero?	He doesn't. - moyers was just supposed to steal it. - but he screwed that up.
He's spent years living the life of riley or rather the life of brendan shea, only seeing the inside of an office when [pr] checks in with [pr] undercover handler.	Ha pasado muchos años viviendo la vida de riley, o, en su caso, la vida de brendan shea, sólo entrando en una oficina para reunirse con su controlador.	Do not underestimate... how difficult it is for him punching in as plain old john bloom. - i don't, sir. - good work on the caulson case, by the way.
Even in salem, there are those who deserve better.	Incluso en salem, hay quienes merecen algo mejor.	But increase knows that you're far too scared and guileless to betray him again. - he will take your words as fact. - words?
I've been by joe campbell's side too many times.	He estado al lado de joe campbell demasiadas veces.	Looked death in the face with him too many times. - - i'll not back down now. - - what are you talking about?
Captain sutton explained it to us after the time travis threw your desk chair out the window.	El capitán sutton nos lo explicó después de que travis tirase tu silla por la ventana.	Did he say who was who? - okay. - uh, we dug these out of the house where jim and maria bergen were hiding.
Now, if you could somehow not tell lavon that it was me, that would be swell because [pr] is a friend.	Si no le contaras a lavon que fui yo sería estupendo, porque es mi amigo.	But a friend is not going to be so forgiving of another friend taking advantage of his very young, vulnerable cousin. - also, i like my legs. - okay, i won't tell him... if you answer this question.
[pr] told blair [pr] had a plan.	Le dijo a blair que tenía un plan.	What, the same blair who put her in a fashion show half-naked? - no, sage did that, too. - you cannot let her sabotage our relationship.
Ten years ago [pr] went demo-derby on [pr] ex's harley.	Hace diez años fue a carreras de demolición con su ex novio harley.	Said she's got things under control now, but-- - i don't know, stacy's been married to him longer. - more time invested, more to lose.
Harley's with [pr] dad tonight.	Harley está con su padre esta noche.	And so i was thinking i would just blow off bills and cleaning if you want to hang out. - oh, great. - you know, lemon's actually having her welcome home party tonight.
[pr] told me early in the morning that she's going to meet jessie.	Ella me dijo por la mañana temprano que se iba a ver a jessie.	If she has lied early in the morning then something is the matter. - where has that girl gone? - where could she go?
I'm amazed at you, remy, thinking your credit wasn't any good.	Me asombras, remy. y pensé que no tenías buen crédito.	Oh, well, forget it, pals. - i guess... it's maybe just because marco never tried to put anything over on anybody... that makes him a little sensitive. - - you boys staying for the party?
A good man, dead... (huffs) all because of riley.	Un buen hombre, muerto... todo por culpa de riley.	They need to find him before he hurts somebody else. - stacey, i'm sure dr. murphy is well aware of the urgency. - i can assure both of you that my department will be working nonstop along with every law enforcement agency in the city to make sure that riley's recaptured.
Uh, it was dumb, what i said about roman and emery.	Fue una tontería, lo que dije sobre roman y emery	Some habits are hard to break, you know? - i-i was talking to a friend of mine today, and the way he was going on about the atrians, his paranoia... he-he was obsessed. - it made me realize... i used to be that guy.
What you want is for jessie to come live with you.	Quieres que jessie viva contigo.	Marnie, you oughtn't let yourself act jealous of a little old kid like that. - she don't bother me none. - and we could always use extra money.
And he's no celibate, he's the playful lord krishna!	Y él no es un célibe hannuman, es el señor krishna, juguetón!	He goes not to the lord's temple at bajrangpur. - he goes to meet his wife. - gopi.
[pr] told me that [pr] was clean now, that [pr] could be a good mother to jessie.	Me dijo que ahora estaba limpia y que podría ser una buena madre para jessie.	She said she had a right to him. - i begged her to be reasonable, to work with me, but... she said she would call the police and... after that, i don't remember what happened except she was reaching for the phone and... - i must have hit her.
