src	trg	src_ctx
Jessie is at [pr] mom's, you can have the attic.	Jessie est chez sa mère, on vous laisse le grenier.	And then tomorrow, Miriam has to go back. - What d'you mean? - Aaron, Miriam doesn't have permission from her father to be out.	 
[pr] has been striving with [pr] soul, Mr. Parris.	Elle luttait avec son âme, M. Parris.	She wants to speak. - Beware this man. - This man is set and bound to destroy my ministry.	 
Private investigator Emerson Cod would experience a life event when life found [pr] through the pages of a pop-up book and [pr] was reunited with [pr] own Little Gum Shoe.	Le détective, Emerson Cod, allait expérimenter un événement. La vie allait le trouver au travers des pages d'un livre animé pour le réunir avec sa propre Lil Gum Shoe.	I'm looking for Emerson Cod. - Jockey-cum-waitress-cum private investigator Olive Snook would experience two life events in quick succession. - The first, opening her heart to a formerly friendless taxidermist and the second, by opening a culinary palace dedicated totheartofmacaroniandcheese called The Intrepid Cow.	 
Private investigator Emerson Cod was enjoying the latest issue of Knit Wit magazine, [pr] literary outlet for knitting humor, when [pr] received a phone call from the mother of one Anita Gray.	Le détective privé, Emerson Cod, lisait avec grand plaisir le dernier "Tricot Rigolo", son magazine spécialisé dans l'humour et le tricot, quand il reçut un appel de la mère d'une certaine Anita Gray.	The facts were these -- - Anita Gray -- 22 years, 11 weeks, 2 days, 9 hours, and 33 minutes old -- was taking a private tutorial in olfactory science when she experienced an epiphany. - And the epiphany was that her instructor,	 
"...that my brother Robert left no trueborn heirs, the boy Joffrey, the boy Tommen, and the girl Myrcella being born of incest between Cersei Lannister and [pr] brother Jaime Lannister.	"... que mon frère Robert n'a pas laissé d'héritiers légitimes, les garçons Joffrey et Tommen, et la fille Myrcella sont nés de l'inceste entre Cersei Lannister et son frère Jaime Lannister.	- By right of birth--" - - Jaime Lannister, the Kingslayer. - Call him what he is.	 
After the mysterious disappearance of their daughter, Mount Isa's Seventh Day Adventist pastor Michael Chamberlain and [pr] wife Lindy are expected to arrive home late today.	Après la mystérieuse disparition d'Azaria, le pasteur adventiste et sa femme sont attendus à Mt Isa tard ce soir.	"Consider yourselves fortunate when all kinds of trials come your way, for you know that when your faith succeeds in facing such trials, the result is the ability to endure." - "Make sure that your endurance carries you all the way without failing so that you may be perfect and complete, lacking nothing." - "But if any of you lacks wisdom, he should pray to God, who will give it to him, because God gives generously and graciously to all."	 
I'd heard you'd been admonished not to interfere any further with Salem's affairs.	J'ai entendu dire qu'on vous avait interdit d'interférer dans les affaires de Salem.	Salem's affairs are every man's affairs. - But in fact, I come as a family friend to offer solace and spiritual advice to Anne Hale. - Well, truly, sir, if you had any concern for her well-being, surely the kindest thing you could do would be to stay miles away from her.	 
Did you tell Harley to pick a fight with some punk twice [pr] size?	Tu as dit à Harley de se bagarrer avec un voyou qui fait deux fois sa taille ?	What? - No. - Look, he came to me. He told me that some kid at school was stealing his lunch money. I just...	 
Did Colonel Carey ever show you where [pr] kept the revolver?	Carey vous a-t-il montré où il cachait son arme ?	I didn't even know he had one. - So if we tested the desk where he kept the gun, we wouldn't find your fingerprints? - I may have touched his desk.	 
Ronald dropped of school right after Riley died.	Ronald a arrêté l'école juste après la mort de Riley.	He lives with his mom, who has 4, 4 DUIs. - Uh, dad is out of the picture. - He spends a cra-cra-crazy amount of time on the Internet, mostly looking at porn and MMA sites and--	 
"Riley, you need to plan the prank of a lifetime that will even the score once and for all."	"Riley, tu dois planifier le piège d'une vie celui qui remettra les compteurs à zéro une fois pour toutes."	Oh, still confused? - Well, she played the part of Heidi, give it up for my manicurist, Tracy! - - What? - Whoa!	 
Was Milan thrust from Milan, that [pr] issue should become Kings of Naples?	Milan a-t-il été jeté hors de Milan pour que ses descendants deviennent rois de Naples ?	O, rejoice beyond a common joy, and set it down with gold on lasting pillars: - in one voyage did Claribel her husband find at Tunis; - And Ferdinand, her brother, found a wife where he himself was lost;	 
Campbell mentioned another guy, somebody [pr] met at a bar last night.	Campbell m'a parlé d'un type rencontré dans un bar hier soir.	Said this guy was the one that clipped Gates. - We traced Campbell's cell phone back to his car. - Okay, good.	 
