src_ctx	src	trg
She was born in 1947 in Bantva. In 2015, she received the Mother Teresa Memorial International Award for Social Justice.	[pr] heads the Edhi Foundation, and with [pr] husband received the 1986 Ramon Magsaysay Award for Public Service.	Sie steht an der Spitze der Edhi Foundation und hat 1986 zusammen mit ihrem Ehemann den Ramon-Magsaysay-Preis in der Kategorie Public Service erhalten.
Mark Philip Baldwin OBE is a contemporary dance choreographer. He was the Artistic Director of Rambert dance company from 2002-2018.	[pr] was born in Fiji and raised and educated in New Zealand.	Er wurde in Fidschi geboren und in Neuseeland aufgezogen und ausgebildet.
Kasai was born in Aomori Prefecture, located in the northernmost portion of the Japanese mainland. He graduated from high school in Sendai and attended medical school there at Tohoku University.	By junior high school, [pr] lived in Hokkaido.	Bis zur Mittelschule lebte er in Hokkaido.
During the 2007-08 Biathlon World Cup, she made it to the podium twice, the first time when she placed second in the sprint at Pokljuka, Slovenia and third in the pursuit at Ruhpolding, Germany. Her best season so far has been the 2010-11 Biathlon World Cup.	During the 2008–09 Biathlon World Cup, [pr] has steadily risen in the rankings and on [pr] placed second during the pursuit event and third in the mass start after Iourieva and Jonsson at Antholz.	Im Biathlon-Weltcup 2008–09 ist sie in der Rangliste stetig nach oben geklettert und wurde Zweite in der Disziplin Verfolgung sowie nach Iourieva und Jonsson Dritte im Massenstart in Antholz.
She was also the Coordinator of the Use of Library and Study Skills (GSP111) for the Faculty of Arts U.N.N until her appointment as the University Librarian. She is also a two-time Council member of the NLA.	Ezeani is an active member of the Nigerian Library Association (NLA) where [pr] was a two-time Vice Chairman of the Information Technology (NLAIT) Section.	Ezeani ist aktives Mitglied der Nigerian Library Association (NLA), wo sie zweimalige stellvertretende Vorsitzende der Information Technology (NLAIT) Section war.
As a consultant, David Nyheim designed and implemented dialogue processes in Indonesia (Christian-Muslim conflicts), Mauritania (government-opposition dialogue on development), Fiji (pre-election stabilisation), and Kyrgyzstan (micro-conflicts and tensions). Lessons learnt from his work on preventing petroleum-related violent conflicts were published in "Balancing Petroleum Policy: Toward Value, Sustainability, and Security" by the World Bank in 2019.	[pr] worked on several stabilisation initiatives, largely for governments and companies operating in areas affected by criminalised violence.	Er war an mehreren Stabilisierungsinitiativen beteiligt, hauptsächlich für Regierungen und Unternehmen in Regionen, die von Gewalt und Kriminalität betroffen waren.
In 1988 he became a professor at the University of Fez. Remmal co-founded the companies Advanced Scientific Developments (ADS) and Industrial Laboratory of Agricultural and Veterinary Products (LIPAV).	[pr] was also a researcher and, in 1994, [pr] received another PhD for [pr] findings about the antimicrobial activity of essential oils.	Er war zudem Forscher und erhielt, im Jahr 1994, einen weiteren Ph.D. für seine Forschungsergebnisse zur antimikrobiellen Aktivität von ätherischen Ölen.
Tara Devi was born to an old merchant family at Tanlāchhi (तंलाछि), Kathmandu. Her grandfather Dharma Man Tuladhar was a philanthropist best known for renovating the Swayambhui stupa in 1918.	[pr] father Triratna Man Tuladhar was a Lhasa Newar trader.	Ihr Vater Triratna Man Tuladhar war ein Newar-Händler in Lhasa.
In 1982, he pioneered the formation of the Diabetes Association of the Caribbean, which now has 26 member countries, and was its President from 1985 to 1987 and its Vice President from 1989 to 1991. He played a key role in partnerships between the International Diabetes Federation and the Pan American Health Organization (PAHO/WHO), in responding to the emerging pandemic of type 2 diabetes, by applying the St. Vincent Declaration intervention model to the Americas, in the form of the Declaration of the Americas on Diabetes or DOTA (1996).	In 1991, [pr] launched the University Diabetes Outreach Project (UDOP) with the help of a Wolfson Foundation grant.	1991 stieß er mithilfe einer Zuwendung der Wolfson Foundation das University Diabetes Outreach Project (UDOP) an.
In December 2006, he added another gold medal to his record, winning the title at the 2006 Asian Games in Doha, Qatar. His personal best throw is 69.32 m, achieved on June 3, 2008, in Tallinn, Estonia.	In 2007, [pr] won the Asian Championships in Amman and defended [pr] title.	2007 gewann er die Asienmeisterschaften in Amman und verteidigte seinen Titel.
