src_ctx	src	trg
Apart from presenting Odissi performances in different parts of India, Sanjukta Panigrahi has been a part of Government's cultural delegation to different countries, including to the US and the Philippines (1969), United Kingdom (1983), Israel, Delphi International Festival in Greece (1989). Panigrahi was born in Berhampur, Ganjam District, Odisha state, to a traditional Brahmin family of Abhiram Mishra and Shakuntala Mishra.	[pr] has also performed in France for eleven weeks, and participated there in the International Music Festival at Paris.	También actuó en Francia durante once semanas, donde participó en el Festival de Música Internacional en París.
He had previously served thirteen terms as a Member of the U.S. House of Representatives from California's 9th Congressional District, in office from 1971 to 1998, after which he worked as a lobbyist in Washington, D.C.Dellums was born into a family of labor organizers, and enlisted in the United States Marine Corps before serving on the Berkeley, California, City Council. His politics earned him a place on President Nixon's enemies list.	[pr] was the first African American elected to Congress from Northern California and the first successful openly socialist non-incumbent Congressional candidate after World War II.	Fue el primer afroamericano del Norte de California que ocupó una banca en el Congreso y el primer candidato provisional abiertamente socialista después de la Segunda Guerra Mundial.
They became the first Korean group to receive a certification from the Recording Industry Association of America (RIAA) for their single "Mic Drop", as well as the first Korean act to top the US Billboard 200 chart with their studio album Love Yourself: Tear (2018). The septet—composed of Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook—co-writes and co-produces much of their own output.	BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan), also known as the Bangtan Boys, is a seven-member South Korean boy band that began formation in 2010 and debuted in 2013 under Big Hit Entertainment.	BTS (en coreano, 방탄소년단; RR, Bangtan Sonyeondan), también conocida como Bangtan Boys, es una banda de siete chicos surcoreanos que se formó en 2010 y debutó en 2013 con el sello Big Hit Entertainment.
He was Resident Choreographer at Sadler's Wells, London, where he established the Mark Baldwin Dance Company (1993–2001). He was Resident Choreographer for Scottish Ballet in 1996.	[pr] created over 40 works for [pr] new company and other major dance companies including: The Royal Ballet, Royal New Zealand Ballet, Berlin State Opera House, Phoenix Dance Theatre, Scottish Ballet, London City Ballet and Rambert Dance Company.	Ha creado más de 40 obras para su nueva compañía y otras grandes compañías de danza, entre ellas: el Royal Ballet, el Royal New Zealand Ballet, la Berlin State Opera House, el Phoenix Dance Theatre, el Scottish Ballet, el London City Ballet y la Rambert Dance Company.
They have also sung a song from Bollywood film Lakeer 'Rozana' composed by Academy Award winner A.R. Rahman and 'Quiero (Din Humara Hai)' from Rakht. The band was composed of the winners of the first season of Indian version of the international television talent show Popstars, named Coke Popstars, after its principal sponsors, Coca-Cola and music channel Channel.	Viva or Viva! is an Indian pop girl group that formed in 2002, and has disbanded since.	Viva o Viva! es una banda femenina de pop india que se formó en 2002 y se separó posteriormente.
After showing a natural ability in dancing, she decided to pursue this as a career, moving to France in the 1960s to study modern dance and ballet. During this period she developed a new style, which she would later call the "African dance".	Upon [pr] return to Senegal, [pr] began to teach dance locally, both privately and as part of the local secondary education system.	A su regreso a Senegal, empezó a enseñar danza localmente, tanto en forma privada como parte del sistema local de educación secundaria.
Barillas-Mury was hired as an assistant professor at Colorado State University’s department of microbiology, immunology, and pathology in 1998. Carolina Barillas-Mury is the chair of the Mosquito Immunity and Vector Competence Section and Director of the Malaria Research Program at the National Institute of Allergy and Infectious Diseases of the National Institutes of Health.	There, [pr] began working to develop a model of cellular invasion of parasites.	Allí, comenzó a trabajar en el desarrollo de un modelo de invasión celular de parásitos.
Her mother Zeynep was an assembly-line worker at Pierburg plant. During her preschool time in the kindergarten, she learned the German language, and met a German couple, who served as a guide in the German world and her hometown's society.	Dilek was raised by [pr] mother, who had learnt reading and writing by [pr] because [pr] was not allowed to go to school in [pr] childhood in Turkey.	Fue criada por su madre, la cual había aprendido a leer y a escribir por sí misma porque no se le permitía ir a la escuela en su niñez en Turquía.
She was also known as the "Mother of probation". She was honoured as a recipient of the Order of the British Empire in 1978 and in 2011 was designated as a National Hero of the Cayman Islands.	[pr] lobbied the government to make changes to the way juvenile cases were processed in the court system, helped establish a probation office as well as a juvenile court system, and became the first probation and welfare officer in the country.	Intervino en el gobierno para modificar la forma en que se procesaban los casos de menores en el sistema judicial, ayudó a establecer una oficina de libertad condicional y un sistema de tribunales de menores, y fue la primera funcionaria de libertad condicional y bienestar del país.
She is the current Director General of East African Development Bank (EADB). She also currently serves as a member of the Board of Directors of the Central Bank of Kenya, since 14 March 2011.	[pr] assumed that position on 15 January 2009.	Asumió el cargo el 15 de enero de 2009.
