src_word	trg_word	src_ctx
abandon	abkommen	Certainly, as Mr Barzanti said, what we must do here is to stress and not abandon the achievements of traditional copyright in the Berne Convention.
abandon	aufgeben	It is vital that the international community does not abandon the people of Gaza, so that their highly precarious humanitarian situation does not continue to be a political factor of instability, tension and dissent.
abandon	begraben	I wish the negotiating parties, and above all the Europeans, who thank God are also sitting at the negotiating table, success with all my heart, because the implementation of the Dayton Agreement in Bosnia - and it has already been pointed out that this is, unfortunately, like trying to square the circle - would also be made easier if Milosevic were finally to consider his real duties as a Yugoslav politician and abandon his aim of a greater Serbia.
abandon	preisgeben	It means that we become outlaws, that we abandon our rights to legal protection.
abandon	verlassen	The Commission therefore welcomes the declaration of the G7 Summit at its meeting in Lyons last June, calling on the Iranian government to abandon the path of terrorism and to stop supporting the death threats hanging over the head of Salman Rushdie.
above	oberhalb	The Commission has, however, made one very important proposal that would be a great help to small and medium enterprises: it is substantially to raise the threshold above which they need to declare turnover tax in advance, i.e. register for VAT.
above	obige	Note: Some of the mailing lists might allow attachments of other MIME content types, but the above list should be applicable for most of the mailing lists.
abstract	Auszug	Average citizens experienced as a form of mystical abstract of your daily routine for a few minutes and jump to the adventure and risk offered by peak experiences.
abstract	Zusammenfassung	Please do not integrate an abstract into your press release, only the press release itself.
abuse	Beschimpfungen	Mr President, ladies and gentlemen, I would like to take the floor to protest against the abuse levelled at the European Union by the Cuban dictator Fidel Castro during a rally a very short time ago.
abuse	missbrauchen	It is all the more alarming if the holders of the rights themselves abuse the rights to the disadvantage of consumers.
abuse	schmähen	President Mugabe is a tyrant who has plundered the resources of his country for his own benefit and that of his cronies and who uses the apparatus of the state, including the police, to terrify and abuse his political opponents.
academic	Wissenschaftler	When he was a schoolboy and student, he himself was confronted with a heavily grammatical approach to teaching. Nowadays, working as an academic in Berlin and Brussels, he campaigns for practical language learning.
academic	wissenschaftlich	What visions and potential of the Internet for democracy and what related concerns have been and are being discussed in the academic literature, and how should these be evaluated today?
access	Zugang	If you stay in Colmar, Turckheim, Kaysersberg, Riquewihr, Ribeauvillé or in one of the nearby villages from the Centre-South of Alsace, you will have directly access to the REGION 2: From COLMAR to RIBEAUVILLE .
accord	Abkommen	Next year, it will be 15 years since the Paris Accord called a halt to the political conflict in Cambodia.
accord	erteilen	I should like to be able to call upon you to speak, which would accord with the procedure we follow in this Parliament.
accord	gewähren	For farmers, many of whom are faced by drastic situations, the European Union ought, as a minimum, to authorise the national governments to accord them exceptional short- and medium-term aid.
accord	zuerkennen	In other words, we must grant people at least the same rights as workers that we accord them as consumers.
accord	Übereinstimmung	There has evidently not been any accord about an agreement and I would call upon both gentlemen to ensure that the Dutch citizen obtains what he is entitled to: information about the euro.
account	Darstellung	For somewhat lighter reading, try Jill Dawson's Wild Boy — a fictionalised account, bringing to life Itard's tale through the introduction of human emotion.
account	Schilderung	China turns away from a reappraisal of Mao or an honest account of what happened at Tiananmen in 1989.
