src_word	trg_word	src_ctx
TRUE	bien	Although it is true that all countries are responsible for their own development, it is no less true that today's interdependence makes us more vulnerable to the actions of others, especially those countries that are large enough to destabilize the global or regional economy.
TRUE	centrado	Over the ensuing 20 years, the emerging NGO network has focused on the full implementation of United Nations resolutions as the only sound basis for true peace.
TRUE	genuino	The areas of genuine success – True, enduring success touches on all aspects of the individual.
TRUE	justo	• Enhance the status of work in the home and acknowledge its true value;
TRUE	leal	“I certify on my honour that the above information is true and correct to the best of my knowledge and belief and that I have verified its contents.
TRUE	material	However, as long as the world is construed as closed, limited and aimless; as long as eternal life is considered imaginary and illusory, while the afterlife and the judgment day, as well as reward and punishment, are thought of as fictional and unreal; as long as morals and commitment to them are called backwardness, while immorality, lies, deceit and selfishness are considered desirable and humans are limited to a materialistic life in this world; as long as attempts are made to replace obedience to God and following His prophets and true freedom with servitude to materialistic tendencies, animal instincts and the oppression of others, while contention reaches its pinnacle; as long as the aggressors, because of their financial, political and propaganda powers, not only escape punishment but even claim righteousness; and as long as wars are started and nations enslaved in order to win votes in elections, not only will the problems of the global community remain unsolved, but they will be increasingly exacerbated.
TRUE	nivel	That is particularly true for the least developed countries of Africa, where civil society organizations have few opportunities to mobilize resources locally, given their limited means.
TRUE	verdadero	Only then would the Palestinian people be able to achieve true well-being by establishing an independent Palestinian State.
abandon	abandonar	South Koreans genuinely fear that the plan may weaken deterrence by sending North Korea - which is demanding a US military withdrawal while refusing to abandon its nuclear weapons ambitions - the message that intransigence pays.
abandon	dejar	There must be consequences for such actions; otherwise, offending States will have no incentive or reason to abandon them.
abandon	renunciar	For 40 years Cuba has suffered from the constant policy of aggression and hostility of another country, which is the largest military and economic power in the world.  We cannot abandon the use of mines for defending our sovereignty and territorial integrity.
about	casi	Madam Tzavela, you have spoken for almost two minutes now, but you had only one minute, even if everything you have spoken about is very important for us.
about	de	All the activities that we are talking about today are obviously not possible without sufficient funding.
about	más o menos	It`s about one and half hour to get to Puil.
about	por	We liked everything other then tha notification we got about the bomb and we had to evacuate.
about	sobre	The police officer should then ask him or her if he or she has anything to say about the matter.
about	unos	Installation: It�s very easy and it only takes about 30-45 minutes for each solar street light.
abuse	abusar de	It was stated that the debtor in possession of the encumbered assets could also abuse its advantageous position.
address	señas	If you are an individual, please enter your address and we will be happy to provide you with the name and address of your nearest distributor.
advocate	abogar por	UNFPA engaged private media houses in the United Republic of Tanzania to promote and advocate for issues related to the International Conference on Population and Development.
advocate	defender	European leaders have to speak out and advocate what we are doing and be able to defend it.
advocate	defensor	According to article 63 of the Constitution, the People's Advocate has the right to make recommendations and to propose measures when he observes violations of human rights and freedoms by the public administration.
advocate	partidario	I am an advocate of electricity generated by nuclear power plants and I do not believe that Europe will be able to achieve the specified targets for clean energy without building nuclear power plants.
advocate	propugnar	National authorities may demand compliance with the law, while other stakeholders may advocate adherence to international standards, as might the company itself, for reasons of principle or simple consistency of policy.
age	edad	H. Age for adoption 32 13
aggregate	agregar	Societies consisting of networked individuals are free to bypass the Governments that feature little legitimacy or capacity to aggregate societies' needs, demands and proposals and to provide satisfactory solutions.
aggregate	total	The third and fourth instalments (in the aggregate amount of USD 2,925,000) were payable by Techcorp upon the issue of process piping and instrument diagrams and the delivery of the Basic Design Engineering Package.
aid	auxiliar	A treatment to remove impurities and dead cells from the pores and to aid in cleaning the skin to leave it smoo¬ther and finer.
aid	ayuda	Beneficiaries of Social Aid and UHR Beneficiaries of a basic pension who would have qualified for social aid were they not in receipt of the basic pension Households whose names appear on the social list of the Central Electricity Board, with average monthly electricity consumption not exceeding 75 KWH
aid	socorro	This decision, like all emergency decisions, enabled operations to be funded from the first day of the emergency. Its objective was to provide immediate aid not only through the distribution of blankets, clothes, medicines and health care and the provision of food and drinking water, but also through the creation of a field hospital in Bhuj.
aim	apuntar	Dissemination of information should aim at intensifying joint efforts to improve means of identification of ODS and prevention of their illegal trade.
aim	aspirar	Now, with this disaster, we have to turn to rebuilding our nation and aim at recovery plus.
aim	dirigir	It is important to point out that, as the Office of the High Commissioner has repeatedly observed, certain methods of attacking, such as gas-cylinder bombs, are difficult to aim and lacking in precision.
aim	meta	If we wish to aim at long-term and durable peace, all parts of society need to part take in it, including women.
aim	objetivo	This aim seems to be totally adopted by EU politicians.
aim	proponer	- (FR) I voted against the draft resolution on the labelling of foodstuffs containing genetically modified organisms, because its sole aim was to give a green light to the Commission to propose a regulation establishing that labelling indicating that GMOs are present would not be compulsory in the event that a food product contains less than 1% GMOs.
aim	propósito	The East African Community was a regional intergovernmental organization comprising Kenya, the United Republic of Tanzania and Uganda and had been established by a treaty signed on 30 November 1999 with the aim of achieving the economic, social, cultural and political integration of the member States.
aim	puntería	These testimonys should not give an account of actions carried out with an aim of causing.
all	enteramente	All our products are scrupulously tested to meet the harshest working conditions of the chemical, textile, food, ecologic, graphic, tanning, ceramics, electronic, galvanic, oil production, petrochemical, paints, biodiesel industries and many others.
all	todo	The amount of $6,400 would cover the cost for two training consultants to conduct training for a one-week specialized training course for all mission and Headquarters public information personnel selected for possible rapid redeployment.
