src_word	trg_word	src_ctx
about	au sujet de	H. Plante stated that she is in communications with Health Canada regarding using their communications vehicle to disseminate information about the Bone and Joint Decade (some issues are still being negotiated).
about	sur	The view was expressed that a discussion should be opened (in which the Office for Outer Space Affairs could inform the Legal Subcommittee about its experiences) on ways of streamlining the agenda that might lead to a reduction, if only by a few days, of the duration of sessions and that would allow for greater participation by developing countries in the work of the Subcommittee.
about	vers	• Introduction to the questionnaires, where the main objectives of the survey were explained, Privacy Statement informing respondents about the data protection policy applied to the personal information, Key to business categories providing potential respondents from business organisations with the uniform categories of type of economic activity24.
above	au-dessus	• one or more companies with participation are acquired or merge with the SE; or the number of workers employed by the SE or one of its subsidiaries increases above the participation threshold in the country concerned; or the new location of the SE resulting from a transfer of the registered office to a participation country would mean that the SE would have been subject to Part 3 of the Annex had it been established initially in that country.
above	en haut	Yesterday, the young assistant judge, Natalya Vasilyeva, dashed the network of falsehood around the Khodorkovsky trial by declaring that the verdict was not reached by the judges, but was dictated to them from above.
above	susmentionné	It seemed likely that the education system was responsible for the above-mentioned imbalance and she urged the Government to review textbooks and expunge gender discrimination from them.
abstract	abstraction	Gods and mythical animals are skilfully represented in styles ranging from abstract to realist.
abstract	résumé	ADJUVANTS, BISPECIFIC ANTIBODIES, DENDRITIC CELL, ENHANCED IMMUNE RESPONSES, INFECTIEUSES ET PARASITAIRES, INFECTIOUS AND PARASITIC, INFLUENZA H5N1, INTERNATIONAL HEALTH, SANTÉ INTERNATIONALE, TARGETED VACCINES, VIRAL, VIROLOGIE, VIROLOGY, VIRUS Abstract:
academic	académique	In terms of voted programs, the International Academic Mobility initiative administers contribution programming in the area of international student mobility.
academic	scolaire	In 2002, there were 16 376 secondary schools attended by a total of 1 006 400 pupils1. In the 20022003 academic year, there were some 1.9 million students in higher education and 359 higher education establishments (including universities and equivalent higher education establishments such as university institutes of technology, higher colleges of applied sciences and colleges of arts and music).
academic	théorique	What was the academic training of each of these people?
academic	universitaire	Experience in the relevant field is sometimes considered to be an alternative to academic qualifications.
accord	accord	D’accord, mais les gens qui voient un pentagramme inséré dans un logo ne réfléchissent pas à tout cela...
accord	accorder	Article 19 seeks to accord children the broadest possible range of protection against any kind of domestic or other violence.
accord	consentement	Moreover, any subsequent use of the data, unless authorized by the consent of the data subject or otherwise provided by law must accord with the specified purposes.
account	considération	The Group of the Party of European Socialists therefore supported the amendments adopted in the Committee responsible and there is nothing more for us to do than hope that the Commission will take them into account along with the successive requests from members of this House for effective progress to be made towards a visible correction of the European deficit of vegetable proteins.
account	importance	11 Counterparties without a safe custody account with a national central bank or a securities settlement account with an SSS fulfilling the ECB’s minimum standards may settle the transactions of underlying assets through the securities settlement account or the safe custody account of a correspondent credit institution. Further provisions related to the settlement procedures are defined in the contractual arrangements applied by the national central banks (or the ECB) for the specific monetary policy instruments.
account	justifier	· Account for a sequence of purchase orders
account	valeur	"Modelling work carried out under the ""White and Green"" SAVE project has concluded that by introduction of this system in the tertiary and services sector, savings of 15% can be obtained at zero cost, and that when ‘externalities’ such as the environment consequences are taken into account this saving potential would go up to 35%."
act	acte	Lesotho stated that the legal system pertaining in Lesotho required involvement of an organized criminal group for purposes of the offences established in accordance with article 5, paragraph 1 (a) (i), and required an act in furtherance of an agreement for purposes of the offences established in accordance with article 5, paragraph 1 (a) (i).
act	exécuter	They can act as executors of the wills of their deceased parents or spouse.
act	se comporter	We believe that ultimately, those aims can be achieved only by adding members which, thanks to their political weight and their status within the Security Council, can act as peers of the P5.
act	servir de	Review of the National Environmental Response Strategy Domestic and international obligations require Canada to maintain considerable preparedness capacity for responses to domestic and potential international pollution incidents, as well as act as a strategic reserve for industry south of 60.
acting	par intérim	During his absence, H.E. Mr. Aldo Mantovani, Ambassador Extraordinary and Plenipoten-tiary, Deputy Permanent Representative, is acting as Chargé d'affaires a.i.
acting	performance	241(EAT)), in which the Court found that it is for the employer, acting reasonably, to decide what is required for the purpose of running the organisation for which it is responsible. Moreover, the Court cannot find that the job sharing scheme was applied in a discriminatory manner to the claimant.
address	adresse	"This Agreement made this ______day of ____________, ____ BETWEEN __________, (hereinafter called ""Carrier"") AND __________, (hereinafter called ""Charterer"") (Address of Charterer) WHEREAS the Carrier shall provide aircraft with crew on a charter basis and the Charterer shall charter same, as hereinafter described, in accordance with and subject to the terms and conditions of this Agreement, and any appendices hereto, all of which shall be governed by the applicable tariffs of the Carrier filed pursuant to law with the Canadian Transportation Agency, the Aeronautics Act, the Canada Transportation Act and other regulations pertinent thereto."
address	appel	In its call for applications, the Commission asked applicants to address, amongst other things, the following issues in their applications:
address	nommer	To address this issue, in 1998 the Prime Minister had instructed all Ministries to appoint women to decision-making positions and, in 2001, members of Government had been invited to report on the measures taken in this regard.
advance	acompte	No advance, progress or milestone payments are to be made to the contractor.
advance	augmentation	"As demonstrated by Measures taken Departmental activities that contribute to the protection of Canadian society Monitor IRPA to ensure that the legislative changes have been fully implemented and to assess the need for regulatory amendments or refinements to policies and procedures Continue to implement the National Case Management System Continue to implement and monitor the new Permanent Resident Card Develop and implement alternative inspection systems (Nexus, Nexus Air, Canpass Air and FAST) in partnership with the CBSA and, when applicable, the United States Department of Homeland Security's Bureau of Customs and Border Protection (BCBP) Strengthen CIC's capacity for planning, analysis and policy development pertaining to medical screening and health surveillance Establish steering committees to strengthen the governance of the Interim Federal Health Program and to advise CIC on health surveillance Analyze the impact on staff of increasing caseloads and the need for increased medical screening and public health surveillance Strengthen the process for managing risks related to health surveillance Implement new fingerprinting technology Departmental activities that contribute to the protection of Canadian society Develop strategies to identify and prioritize CIC's intelligence requirements Develop a joint intelligence project on human smuggling in collaboration with American partners Continue to implement the risk mitigation strategy in the Multiple Borders Risk Management Framework and the immigration items in the Smart Border Action Plan Continue to work with the United States to negotiate and implement new information-sharing arrangements Renew the partnership agreement with the CRA and implement the new agreement with the RCMP Develop systems to support new screening programs (API, PNR, Advance Passenger Processing, PAUs, JPAUs) Develop strategies to improve coordination within CIC's intelligence network Interception of individuals attempting to enter Canada with improper documentation Maintain or surpass the current rate for pre-arrival interception of high-risk individuals Reports on and, if necessary, detention of individuals who have contravened the Immigration and Refugee Protection Act Complete the development of the detention framework Develop a new national strategy pertaining to detention Develop operational guidelines and national standards to support the new strategy Removal of people who have no legal right to remain in Canada, especially those who pose a threat to Canadian society Seek continued cooperation from targeted source countries to issue travel documents Establish Integrated Immigration Enforcement Teams with the RCMP in Toronto, Montréal and Vancouver to enhance investigation and removals Continue to work with the United States to use joint charter flights to remove ""difficult"" persons Implement the transit provisions of the Safe Third Country Agreement Work with international partners to share best practices and coordinate efforts to expedite removals Resources Used - Strategic Outcome 4 ($ millions) Planned spending $377.4 Total authorities $191.9 2003-2004 Actual $166.4 Explanation of resources used:"
advance	avancer	The single arrow buttons allows you to advance or move back one year.
advance	progression	Its work had become more vital with the advance of globalization.
advance	progrès	Our bilateral relationships with the US and Mexico have proven enormously successful, and continue to present the clearest opportunities to advance Canadian interests, while our trilateral efforts complement progress on the bilateral front.
advance	évoluer	• advance clinical knowledge and practice in the field of dementia;
advocate	avocat	The Advocate General proposes that the Court should set aside the judgment of the Court of First Instance and refer the dispute back to it so that it can examine the additional requirements for a damages claim (loss and causality).
advocate	plaider	The preparation of sector-wide programmes — in health, education, and possibly water and sanitation — will also provide opportunities to advocate child-friendly provisions.
advocate	préconiser	The role of the Council of Europe is to advocate and encourage the application of these principles to strengthen the democratic process.
affect	affecter	The Union shall take account of the objectives of development cooperation in the policies that it implements which are likely to affect developing countries.’;
affect	atteindre	Survey of Funding Recipients and CCPC Members These data indicate that the lack of legal expertise, the time commitment, and the emotional strain are factors that may particularly affect the capacity of the Program to achieve its objectives.
after	après	If, after the expiration of the time limit specified (including any extensions), a signature (of at least one applicant), or other required indication (in respect of one applicant who has the right according to Rule 54.2 to make a demand) is still lacking the demand is considered not to have been submitted and the International Preliminary Examining Authority will so declare.
after	derrière	This allows for a heightened appreciation of the aural dimension and creates a new listening context which Pierre Schaeffer called ‘acousmatic,’ after initiates of Pythagoras who received lectures with their master obscured by a curtain.
after	malgré	Despite certain attacks on the Commission's monopoly, the negotiations during the last Intergovernmental Conference confirmed that this is not only to remain intact as far as the Commission is concerned, but that in certain areas - such as justice and home affairs - the Commission will automatically gain the monopoly after five years.
after	sur	Linguistic competence is highly sought after in companies and good language skills make people more employable.
after	vers	After increasing steadily from the early-1980s to mid-1990s, the annual number of doctoral graduates leveled off in the latter part of that decade.
age	vieillesse	• Old Age Security payments (see the note below);
age	ère	He relies mainly on the organic forms of Art Nouveau, but applied on a scale more monumental, and marries his creative style with that information age marker, the computer.
aggregate	agrégat	Policy requires a stable moneydemand function, but unfortunately, in a world of ﬁnancial innovation it is unlikely that any single aggregate that uses ﬁxed weights of ﬁnancial instruments will exhibit a time-invariant, stable relationship with prices and income.
aggregate	ensemble	Thus, rather than tying executive pay to a specified percentage of the value of the bank’s common shares, compensation could be tied to a specified percentage of the aggregate value of the bank’s common shares, preferred shares, and all the outstanding bonds issued by the bank.
aggregate	général	Contingent Liability as the Measure of Taxpayer Exposure The current measure used for overall program control, the aggregate lending ceiling, has proven to be both cumbersome and an inaccurate reflection of the financial exposure of the federal government.
aggregate	rassembler	An RSS reader will allow you to aggregate content from many different sources (including Credit Suisse) into one place.
aggregate	total	"(5) In computing the revenue from a revenue source for a province for a fiscal year, the Minister may deduct from the amount set out in the certificate (a) the amount of any rebate, credit or reduction in relation to that revenue, or its components, that the province, or a local government, grants in favour of a taxpayer for the fiscal year, as determined by Statistics Canada, or, if Statistics Canada does not make the determination, as determined by the Minister, up to a maximum that reduces the amount of the taxpayer's tax that is included in the revenue source to zero and, for the purpose of this paragraph, if the province or a local government applies a rebate, credit or reduction against the actual or estimated liability of the taxpayer for another tax that it imposes, the amount of that rebate, credit or reduction, up to a maximum that reduces the taxpayer's liability for that other tax to zero, may be deducted from the amount that would otherwise be determined for the revenue source that includes that other tax; (b) the amount of any revenue that the province receives from a local government or any revenue that a local government receives from the province, if that amount would otherwise be included twice in the aggregate of all revenue to be equalized for all sources included in the definition ""revenue source"" in subsection 3.5(1) or 3.9(2) of the Act; and (c) the amount of any revenue that the province or a local government in the province paid to itself, if that amount would otherwise be included twice in the aggregate of all revenue to be equalized for all sources included in the definition ""revenue source"" in subsection 3.5(1) or 3.9(2) of the Act."
aid	aide	Checked out bursaries and awards that may be offered by the Ontario Association of Children’s Aid Societies and your local children’s aid society?
aid	assistance	The Investigation Team found, however, that the impression given in the consultants' report that sexual exploitation by aid workers, in particular sex for services, was widespread is misleading and untrue.
aim	affaire	Mr President, we are looking at a proposal for a directive under the Auto-Oil programme, with the aim of improving air quality by the year 2010 by reducing emissions from motor vehicles.
air	air	(hereinafter Air Nova), Alexandair Inc.
air	aérer	Prefer fresh air for the whole family during a weekly walk.
air	aérien	Canadian Air Traffic Control Association (CATCA) 304 - 265 Carling Avenue
air	brise	Foreword I’m sitting and reading on our deck with music drifting out into the summer air – music flowing from our trusty portable system.
air	diffuser	"The Coalition of Canadian Audio-visual Unions (CCUA) identified the following nine measures: 1. limits to the licensing of new competing free-to-air TV broadcasters in Canada, including foreign ownership requirements 2. must-carry and priority provisions 3. simultaneous substitution 4. s 19.1 of the Income Tax Act 5. far higher degrees of consolidation and concentration in free-to-air markets than in the U.S. 6. prohibition of competing U.S. pay and specialty services 7. prohibition of local advertising by cable systems 8. common ownership of niche-protected Canadian specialty services and BDU must-carry provisions 9. financial support for priority programming from the CTF, tax incentives and other sources Peter Grant, in a paper presented April 27, 2007 ""Cultural Product and The Long Tail"", listed the same first four measures plus ""penal provisions for the unauthorized reception of encrypted signals""."
air	exprimer	Someone will express their desire to quit the Air Force to become a maintainer on civilian aircraft, and every time money is the number one reason.
all	tous	There is responsibility for the safe and effective use of all helicopters and crews in the department.
all	tout	Well now, that text was voted down by democratic referendum in France and in the Netherlands, but that has all been laughed off now.
all	toute	AIDS is a threat of concern to all humankind.
along	avec	THUNDER BAY—RAINY RIVER (Population: 85,775) (Map 1) Consisting of: (a) that part of the Territorial District of Thunder Bay lying southerly and westerly of a line described as follows: commencing at the intersection of the westerly limit of said territorial district with the 6th Base Line; thence easterly along said base line to longitude 90o00′ W; thence southerly along said longitude to its most southerly intersection with the Dog River; thence generally southerly along said river to the western shoreline of Dog Lake; thence generally southerly along said shoreline to the northerly boundary of the geographic Township of Fowler; thence westerly, southerly and easterly along the northerly, westerly and southerly boundaries of said geographic township to the Kaministiquia River; thence generally southerly along said river to the northerly limit of the Township of Oliver Paipoonge; thence easterly and southerly along the northerly and easterly limits of said township to Pole Line Road; thence easterly along said road and its production to Thunder Bay Expressway (Highway No. 11, Highway No. 17); thence northerly along said expressway to Harbour Expressway; thence easterly along Harbour Expressway and Main Street to 110th Avenue; thence due east to the easterly limit of the City of Thunder Bay; thence southwesterly, easterly and southerly along said limit to the northeast corner of the Township of Neebing situated easterly of Welcome Islands; thence S 45o00′ E to the international boundary between Canada and the United States of America; and (b) the Territorial District of Rainy River.
along	dans	In response, the Delegation of Australia indicated a preference for using more liberal wording, along the lines of the United Nations Commission on International Trade Law (UNCITRAL) Model Law on Electronic Commerce, so that applicant’s rights were not prejudiced if an Office failed to comply with the detailed record keeping requirements contained in draft Annex F.
alternative	alternatif	(d) International cooperation on the eradication of illicit drug crops and on alternative development;
alternative	alternative	The Cuenca Fedora is an economic alternative to the Montecristi Fedora due to the fact that thicker straw is used for weaving.
alternative	autre	Alternative draft indicator O-10: Increase in number of country Parties reporting on relevant reliable indicators and its associated baseline values.
amount	montant	(a) Approval of the amount of $40,683,600 for the maintenance of the Logistics Base for the 12-month period from 1 July 2007 to 30 June 2008;
amount	nombre	Methodology for Government Transfers Government transfers involving direct payments correspond to the dollar amount paid by the government net of administration costs, fees and contributions paid by beneficiaries.
amount	quantité	This will increase production while decreasing the amount of unwanted by-products.
amount	somme	However, if you carry more than US$10,000 in monetary instruments (such as U.S. or foreign coin, currency, traveller's cheques, money orders, stocks, or bonds) into or out of the U.S., or if you receive more than that amount while in the U.S., you must file a report (Customs Form 4790) with U.S. Customs.
amount	total	A corporation’s capital tax base includes, in accordance with paragraph 181.2(3)(a), the amount of the corporation’s capital stock, retained earnings, contributed surplus and any other surpluses reflected on its balance sheet at year end.
amount	équivaloir	The package is important because, following the July 2003 Altmark judgment178 by the European Court of Justice, compensation for many small services could amount to state aid.
answer	solution	Any answer should be country-and context-specific and should be based on systematic evaluation.
any	plus	In short, your navy has been busier recently than any time since the Korean Conflict.
any	quelconque	Thus when an auctioned licence is divided, the minimum geographic size that any one of the new divisions may take is one Spectrum Grid cell.
any	tout	- The exhaust system as well as the exhaust pipes shall be so directed or protected to avoid any danger to the load through heating or ignition.
approach	aborder	Consequently a strategy has been defined that allows departments to approach its implementation in a step-wise manner.
approach	approche	This has been communicated that this approach is sufficient. The new Quality Guidance Document is currently up on the website.
